NormalizedID,NormalizedName,N_aliases,Aliases,Papers
D006463,Hemolytic-Uremic Syndrome,8,"['HUS', 'Hemolytic Uremic Syndrome', 'Hemolytic uremic syndrome', 'Uremic Hemolytic Syndrome', 'hemolytic uremic syndrome', 'hemolytic-uremic syndrome', 'post-diarrheal Hemolytic Uremic Syndrome', 'post-diarrheal hemolytic uremic syndrome']",41
D019636,Neurodegenerative Diseases,9,"['Neurodegenerative conditions', 'neurodegeneration', 'neurodegenerative diseases', 'neurodegenerative disorder', 'neurodegenerative disorders', 'neurodegenerative pathologies', 'neurodegenerative proteinopathies', 'neurological and neuropsychiatrical conditions', 'neuropsychiatric and neurodegenerative disorders']",21
D010300,Parkinson Disease,6,"['PD', ""Parkinson's"", ""Parkinson's Disease"", ""Parkinson's disease"", 'Parkinsonian', 'parkinsonian']",19
D011225,Pre-Eclampsia,4,"['PE', 'Preeclampsia', 'pre-eclampsia', 'preeclampsia']",19
D001523,Mental Disorders,16,"['Behavioral sensitization', 'Psychiatric Disorders', 'anxiogenic behavior', 'behavioral abnormalities', 'behavioral impairment', 'behavioral impairments', 'behavioral sensitization', 'locomotor activity deficits', 'mental illnesses', 'neuropsychiatric conditions', 'neuropsychiatric disorders', 'psychiatric', 'psychiatric conditions', 'psychiatric disorder', 'psychiatric disorders', 'psychiatric neurodevelopmental disorders']",18
D007249,Inflammation,5,"['Inflammatory', 'chronic liver inflammation', 'inflammation', 'inflammatory', 'renal inflammation']",18
D007239,Infections,5,"['Infection', 'Maternal infections', 'STEC infection', 'infection', 'infections']",16
D007674,Kidney Diseases,13,"['Alport Renal Disease', 'Alport renal disease', 'Renal damages', 'glomerulopathies', 'glomerulopathy', 'kidney damage', 'kidney disease', 'kidney injury', 'kidney involvement', 'renal damage', 'renal damages', 'renal disease', 'renal injury']",14
D064420,Drug-Related Side Effects and Adverse Reactions,6,"['Cytotoxic', 'Cytotoxicity', 'cytotoxic', 'cytotoxicity', 'photoreceptor toxicity', 'toxicity']",14
D058186,Acute Kidney Injury,5,"['ARF', 'acute and chronic renal failure', 'acute kidney injury', 'acute renal failure', 'acute renal injury']",14
D003967,Diarrhea,4,"['bloody and non-bloody diarrhea', 'bloody diarrhea', 'diarrhea', 'hemorrhagic diarrhea']",12
D009410,Nerve Degeneration,12,"['DAN', 'Neuronal', 'axonal and neuronal damage', 'axonal degeneration', 'degeneration', 'dopaminergic neuron loss', 'neuron', 'neuronal', 'neuronal damage', 'neuronal death', 'neuronal degeneration', 'nigrostriatal degeneration']",11
