NormalizedID,NormalizedName,Papers,Mentions,Text_mentions,Sections
D006463,Hemolytic-Uremic Syndrome,41,139,"['HUS', 'Hemolytic Uremic Syndrome', 'Hemolytic uremic syndrome', 'Uremic Hemolytic Syndrome', 'hemolytic uremic syndrome', 'hemolytic-uremic syndrome', 'post-diarrheal Hemolytic Uremic Syndrome', 'post-diarrheal hemolytic uremic syndrome']","['abstract', 'title']"
D019636,Neurodegenerative Diseases,21,33,"['Neurodegenerative conditions', 'neurodegeneration', 'neurodegenerative diseases', 'neurodegenerative disorder', 'neurodegenerative disorders', 'neurodegenerative pathologies', 'neurodegenerative proteinopathies', 'neurological and neuropsychiatrical conditions', 'neuropsychiatric and neurodegenerative disorders']","['abstract', 'title']"
D011225,Pre-Eclampsia,19,70,"['PE', 'Preeclampsia', 'pre-eclampsia', 'preeclampsia']","['abstract', 'title']"
D010300,Parkinson Disease,19,64,"['PD', ""Parkinson's"", ""Parkinson's Disease"", ""Parkinson's disease"", 'Parkinsonian', 'parkinsonian']","['abstract', 'title']"
D007249,Inflammation,18,34,"['Inflammatory', 'chronic liver inflammation', 'inflammation', 'inflammatory', 'renal inflammation']","['abstract', 'title']"
D001523,Mental Disorders,18,30,"['Behavioral sensitization', 'Psychiatric Disorders', 'anxiogenic behavior', 'behavioral abnormalities', 'behavioral impairment', 'behavioral impairments', 'behavioral sensitization', 'locomotor activity deficits', 'mental illnesses', 'neuropsychiatric conditions', 'neuropsychiatric disorders', 'psychiatric', 'psychiatric conditions', 'psychiatric disorder', 'psychiatric disorders', 'psychiatric neurodevelopmental disorders']","['abstract', 'title']"
D007239,Infections,16,20,"['Infection', 'Maternal infections', 'STEC infection', 'infection', 'infections']","['abstract', 'title']"
D007674,Kidney Diseases,14,35,"['Alport Renal Disease', 'Alport renal disease', 'Renal damages', 'glomerulopathies', 'glomerulopathy', 'kidney damage', 'kidney disease', 'kidney injury', 'kidney involvement', 'renal damage', 'renal damages', 'renal disease', 'renal injury']","['abstract', 'title']"
D064420,Drug-Related Side Effects and Adverse Reactions,14,28,"['Cytotoxic', 'Cytotoxicity', 'cytotoxic', 'cytotoxicity', 'photoreceptor toxicity', 'toxicity']","['abstract', 'title']"
D058186,Acute Kidney Injury,14,19,"['ARF', 'acute and chronic renal failure', 'acute kidney injury', 'acute renal failure', 'acute renal injury']","['abstract', 'title']"
