GeneID,Symbol,Description,TaxID,Organism,Papers,Mentions,Text_mentions
2054,STX2,syntaxin 2,,Homo sapiens,15,82,"['Stx2', 'Stx2a', 'stx2']"
361,AQP4,aquaporin 4,,Homo sapiens,11,67,"['AQP4', 'AQUAPORIN-4', 'Aquaporin 4', 'Aquaporin-4', 'aquaporin-4']"
358,AQP1,aquaporin 1 (Colton blood group),,Homo sapiens,10,28,"['AQP1', 'AQP1/4', 'Aquaporin 1', 'Aquaporin-1', 'aquaporin-1']"
360,AQP3,aquaporin 3 (Gill blood group),,Homo sapiens,7,52,"['AQP3', 'Aquaporin 3', 'aquaporin 3', 'aquaporin-3']"
14281,Fos,"Fos proto-oncogene, AP-1 transcription factor subunit",,Mus musculus,7,11,"['C-FOS', 'c-Fos']"
13489,Drd2,dopamine receptor D2,,Mus musculus,6,37,"['D2 receptor', 'D2R', 'Dopamine D2 receptor', 'Drd2', 'dopamine D2 receptor']"
366,AQP9,aquaporin 9,,Homo sapiens,6,32,"['AQP9', 'AQUAPORIN-9', 'Aquaporin-9']"
230908,Tardbp,TAR DNA binding protein,,Mus musculus,6,25,"['TAR DNA-binding protein 43', 'TDP-43']"
6804,STX1A,syntaxin 1A,,Homo sapiens,6,18,"['Stx1', 'stx1']"
857,CAV1,caveolin 1,,Homo sapiens,6,13,"['Cav-1', 'Caveolin-1', 'caveolin-1']"
59341,TRPV4,transient receptor potential cation channel subfamily V member 4,,Homo sapiens,5,38,"['TRPV4', 'Transient Receptor Potential Vanilloid 4', 'transient receptor potential vanilloid 4']"
23435,TARDBP,TAR DNA binding protein,,Homo sapiens,5,23,"['TAR DNA-binding protein 43', 'TAR-DNA-binding protein-43', 'TDP 43', 'TDP-43', 'transactive response DNA-binding protein of 43 kDa']"
13488,Drd1,dopamine receptor D1,,Mus musculus,5,5,"['D1 receptor', 'Drd1', 'dopamine D1 and D2 receptors', 'dopamine D1 receptor', 'dopamine D1/D5 receptor']"
519148,STX2,syntaxin 2,,Bos taurus,4,21,"['Stx2', 'stx2']"
7124,TNF,tumor necrosis factor,,Homo sapiens,4,17,"['TNF-alpha', 'Tumor Necrosis Factor-Alpha', 'tumor necrosis factor-alpha']"
19293,Pvalb,parvalbumin,,Mus musculus,4,12,"['PV', 'parvalbumin']"
53947,A4GALT,"alpha 1,4-galactosyltransferase (P1PK blood group)",,Homo sapiens,4,8,"['GB3', 'Gb3']"
581,BAX,"BCL2 associated X, apoptosis regulator",,Homo sapiens,4,6,['Bax']
359,AQP2,aquaporin 2,,Homo sapiens,3,28,"['AQP2', 'Aquaporin 2', 'Aquaporin-2']"
14810,Grin1,"glutamate receptor, ionotropic, NMDA1 (zeta 1)",,Mus musculus,3,19,"['Grin1', 'N-methyl-D-aspartate receptor', 'NMDA receptors', 'NMDAR', 'NMDAr']"
25130,Stx2,syntaxin 2,,Rattus norvegicus,3,17,['Stx2']
3091,HIF1A,hypoxia inducible factor 1 subunit alpha,,Homo sapiens,3,13,"['HIF-1alpha', 'hypoxia inducible factor (HIF)-1alpha', 'hypoxia inducible factor-1 alpha']"
