GeneConcept,Papers,Mentions,N_GeneIDs,GeneIDs,Symbols,N_species,TaxIDs,Organisms,Text_mentions
STX2,23,124,4,"['13852', '2054', '25130', '519148']","['STX2', 'Stx2']",1,[''],"['Bos taurus', 'Homo sapiens', 'Mus musculus', 'Rattus norvegicus']","['Stx2', 'Stx2a', 'stx2']"
AQP4,12,71,2,"['11829', '361']","['AQP4', 'Aqp4']",1,[''],"['Homo sapiens', 'Mus musculus']","['AQP4', 'AQUAPORIN-4', 'Aquaporin 4', 'Aquaporin-4', 'aquaporin-4']"
AQP1,12,39,2,"['25240', '358']","['AQP1', 'Aqp1']",1,[''],"['Homo sapiens', 'Rattus norvegicus']","['AQP1', 'AQP1/4', 'Aquaporin 1', 'Aquaporin-1', 'aquaporin 1', 'aquaporin-1']"
TARDBP,9,48,2,"['230908', '23435']","['TARDBP', 'Tardbp']",1,[''],"['Homo sapiens', 'Mus musculus']","['TAR DNA-binding protein 43', 'TAR-DNA-binding protein-43', 'TDP 43', 'TDP-43', 'transactive response DNA-binding protein of 43 kDa']"
FOS,9,16,2,"['14281', '2353']","['FOS', 'Fos']",1,[''],"['Homo sapiens', 'Mus musculus']","['C-FOS', 'c-Fos', 'c-fos']"
AQP3,8,57,2,"['11828', '360']","['AQP3', 'Aqp3']",1,[''],"['Homo sapiens', 'Mus musculus']","['AQP3', 'Aquaporin 3', 'aquaporin 3', 'aquaporin-3']"
TNF,7,23,3,"['21926', '24835', '7124']","['TNF', 'Tnf']",1,[''],"['Homo sapiens', 'Mus musculus', 'Rattus norvegicus']","['TNF-alpha', 'TNFalpha', 'Tumor Necrosis Factor-Alpha', 'Tumor necrosis factor-alpha', 'tumor necrosis factor-alpha']"
TRPV4,6,48,2,"['59341', '66026']","['TRPV4', 'Trpv4']",1,[''],"['Homo sapiens', 'Rattus norvegicus']","['TRPV4', 'Transient Receptor Potential Vanilloid 4', 'transient receptor potential vanilloid 4']"
DRD2,6,37,1,['13489'],['Drd2'],1,[''],['Mus musculus'],"['D2 receptor', 'D2R', 'Dopamine D2 receptor', 'Drd2', 'dopamine D2 receptor']"
AQP9,6,32,1,['366'],['AQP9'],1,[''],['Homo sapiens'],"['AQP9', 'AQUAPORIN-9', 'Aquaporin-9']"
STX1A,6,18,1,['6804'],['STX1A'],1,[''],['Homo sapiens'],"['Stx1', 'stx1']"
CAV1,6,13,1,['857'],['CAV1'],1,[''],['Homo sapiens'],"['Cav-1', 'Caveolin-1', 'caveolin-1']"
A4GALT,6,11,2,"['53947', '63888']","['A4GALT', 'A4galt']",1,[''],"['Homo sapiens', 'Rattus norvegicus']","['GB3', 'Gb3']"
