GeneID,Gene,DiseaseID,Disease,Papers,PMIDs
2054,STX2,D006463,Hemolytic-Uremic Syndrome,13,"['25794836', '26335361', '28718802', '29068360', '30360505', '30513821', '31703347', '31824869', '34155339', '34437406', '34900753', '39442808', '42347511']"
2054,STX2,D058186,Acute Kidney Injury,7,"['26335361', '28718802', '30360505', '30513821', '31703347', '34155339', '34900753']"
230908,Tardbp,D000690,Amyotrophic Lateral Sclerosis,6,"['25392493', '28066234', '31068973', '33363456', '42134656', '42404802']"
230908,Tardbp,D019636,Neurodegenerative Diseases,6,"['25392493', '28066234', '31068973', '33363456', '42134656', '42404802']"
230908,Tardbp,D057177,TDP-43 Proteinopathies,6,"['25392493', '28066234', '31068973', '33363456', '42134656', '42404802']"
2054,STX2,D064420,Drug-Related Side Effects and Adverse Reactions,6,"['26335361', '28718802', '30513821', '30620717', '31824869', '34155339']"
230908,Tardbp,D057180,Frontotemporal Dementia,6,"['25392493', '28066234', '31068973', '33363456', '42134656', '42404802']"
2054,STX2,D007239,Infections,6,"['25794836', '30360505', '30513821', '31703347', '31824869', '34900753']"
366,AQP9,D011225,Pre-Eclampsia,5,"['26568619', '29567477', '30425647', '34925067', '39955250']"
2054,STX2,D003967,Diarrhea,5,"['25794836', '29068360', '30360505', '30513821', '34900753']"
13489,Drd2,D010300,Parkinson Disease,5,"['27431292', '30746639', '37683958', '40553107', '42570776']"
519148,STX2,D006463,Hemolytic-Uremic Syndrome,4,"['28888654', '29483033', '29807709', '33685676']"
2054,STX2,D007674,Kidney Diseases,4,"['26335361', '28718802', '34155339', '39442808']"
6804,STX1A,D006463,Hemolytic-Uremic Syndrome,4,"['26335361', '34437406', '34822608', '42347511']"
2054,STX2,D004927,Escherichia coli Infections,4,"['25794836', '30360505', '34900753', '42347511']"
23435,TARDBP,D019636,Neurodegenerative Diseases,4,"['28066234', '33363456', '34916412', '39327159']"
360,AQP3,D011225,Pre-Eclampsia,4,"['26568619', '29108637', '29567477', '30425647']"
13488,Drd1,D010302,Parkinson Disease Secondary,4,"['27431292', '30746639', '33547844', '41817828']"
13488,Drd1,D010300,Parkinson Disease,4,"['27431292', '30746639', '33547844', '41817828']"
519148,STX2,D003967,Diarrhea,3,"['28888654', '29483033', '33685676']"
14580,Gfap,D006463,Hemolytic-Uremic Syndrome,3,"['30619183', '30732602', '35835234']"
23435,TARDBP,D000690,Amyotrophic Lateral Sclerosis,3,"['28066234', '33363456', '34916412']"
23435,TARDBP,D057177,TDP-43 Proteinopathies,3,"['28066234', '33363456', '39327159']"
23435,TARDBP,D057180,Frontotemporal Dementia,3,"['28066234', '33363456', '34916412']"
7124,TNF,D007249,Inflammation,3,"['31703347', '34900753', '38019897']"
13489,Drd2,D010302,Parkinson Disease Secondary,3,"['27431292', '30746639', '42570776']"
366,AQP9,C538543,Preeclamptic toxemia,3,"['29567477', '34925067', '39955250']"
230908,Tardbp,D003072,Cognition Disorders,3,"['25392493', '28066234', '31068973']"
13488,Drd1,D004409,Dyskinesia Drug-Induced,3,"['30746639', '33547844', '41817828']"
230908,Tardbp,D000014,Abnormalities Drug-Induced,3,"['25392493', '28066234', '31068973']"
519148,STX2,D003092,Colitis,3,"['28888654', '29483033', '33685676']"
3091,HIF1A,D000860,Hypoxia,3,"['27488203', '30539720', '41242030']"
14810,Grin1,D012559,Schizophrenia,3,"['29394409', '32205341', '33822178']"
53947,A4GALT,D006463,Hemolytic-Uremic Syndrome,3,"['26335361', '32482148', '34155339']"
2054,STX2,D000743,Anemia Hemolytic,3,"['29068360', '30360505', '30513821']"
2054,STX2,D007249,Inflammation,3,"['25794836', '31703347', '34900753']"
14810,Grin1,D001523,Mental Disorders,2,"['32205341', '33822178']"
53947,A4GALT,D058186,Acute Kidney Injury,2,"['26335361', '34155339']"
7124,TNF,D006463,Hemolytic-Uremic Syndrome,2,"['31703347', '34900753']"
13492,Drd5,D010300,Parkinson Disease,2,"['40553107', '41817828']"
7124,TNF,D007239,Infections,2,"['31703347', '34900753']"
13492,Drd5,D002547,Cerebral Palsy,2,"['40553107', '41817828']"
581,BAX,D000860,Hypoxia,2,"['26568619', '27488203']"
7124,TNF,D058186,Acute Kidney Injury,2,"['31703347', '34900753']"
