GeneID,Gene,Diseases,Associations,Supporting_papers
2054,STX2,27,27,72
53947,A4GALT,22,22,27
358,AQP1,22,22,24
13489,Drd2,20,20,29
14281,Fos,19,19,25
13488,Drd1,18,18,28
14580,Gfap,17,17,21
230908,Tardbp,16,16,43
7422,VEGFA,16,16,16
361,AQP4,15,15,17
3439,IFNA1,15,15,15
5228,PGF,15,15,15
6347,CCL2,15,15,15
6348,CCL3,15,15,15
6352,CCL5,15,15,15
360,AQP3,14,14,18
52897,Rbfox3,14,14,16
25130,Stx2,14,14,15
23435,TARDBP,13,13,22
6804,STX1A,13,13,18
21926,Tnf,12,12,12
26417,Mapk3,12,12,12
7124,TNF,11,11,16
25240,Aqp1,11,11,11
30682,vegfaa,11,11,11
366,AQP9,10,10,18
581,BAX,10,10,12
13852,Stx2,9,9,11
114737,Iba1,9,9,9
17196,Mbp,9,9,9
387298,p2rx7,9,9,9
394066,lin28a,9,9,9
405785,tnfa,9,9,9
797150,hif1aa,9,9,9
519148,STX2,8,8,16
19293,Pvalb,8,8,9
170496,Lcn2,8,8,8
83626,Ugcg,8,8,8
11346,SYNPO,7,7,9
12367,Casp3,7,7,8
12978,Csf1r,7,7,7
14617,Gjd2,7,7,7
16183,Il2,7,7,7
3458,IFNG,7,7,7
3916,LAMP1,7,7,7
7038,TG,7,7,7
969,CD69,7,7,7
3354888,rl,6,6,8
11545,Parp1,6,6,7
12043,Bcl2,6,6,7
63888,A4galt,6,6,7
836,CASP3,6,6,7
12857,Cox4i1,6,6,6
14599,Gh,6,6,6
17708,COX1,6,6,6
17709,COX2,6,6,6
18783,Pla2g4a,6,6,6
24835,Tnf,6,6,6
24954,Insr,6,6,6
27303,RBMS3,6,6,6
43149,Nf1,6,6,6
596,BCL2,6,6,6
7357,UGCG,6,6,6
81818,Vim,6,6,6
959,CD40LG,6,6,6
3091,HIF1A,5,5,8
18976,Pomc,5,5,7
16491,Kcna3,5,5,6
920,CD4,5,5,6
100102,Pcsk9,5,5,5
11829,Aqp4,5,5,5
12048,Bcl2l1,5,5,5
12122,Bid,5,5,5
15978,Ifng,5,5,5
16783,Lamp1,5,5,5
20259,Scin,5,5,5
20604,Sst,5,5,5
32260,Fer3HCH,5,5,5
42490,Mvl,5,5,5
46415,Fer1HCH,5,5,5
5420,PODXL,5,5,5
59341,TRPV4,5,5,5
6853,MRX50,5,5,5
7056,THBD,5,5,5
9314,KLF4,5,5,5
14810,Grin1,4,4,7
13492,Drd5,4,4,6
108058,Camk2d,4,4,4
11838,Arc,4,4,4
13370,Dio1,4,4,4
1401,CRP,4,4,4
17395,Mmp9,4,4,4
212541,Rho,4,4,4
22348,Slc32a1,4,4,4
22353,Vip,4,4,4
23673,STX12,4,4,4
2706,GJB2,4,4,4
2717,GLA,4,4,4
280846,LTF,4,4,4
3569,IL6,4,4,4
3576,CXCL8,4,4,4
6531,SLC6A3,4,4,4
7054,TH,4,4,4
8128,ST8SIA2,4,4,4
83785,Vegfa,4,4,4
941,CD80,4,4,4
10536,P3H3,3,3,3
11998,Avp,3,3,3
1440,CSF3,3,3,3
14645,Glul,3,3,3
15558,Htr2a,3,3,3
1791,DNTT,3,3,3
18125,Nos1,3,3,3
18429,Oxt,3,3,3
20682,Sox9,3,3,3
2921,CXCL3,3,3,3
3552,IL1A,3,3,3
3586,IL10,3,3,3
3627,CXCL10,3,3,3
3759,KCNJ2,3,3,3
4137,MAPT,3,3,3
4313,MMP2,3,3,3
4681,NBL1,3,3,3
50721,Sirt6,3,3,3
51284,TLR7,3,3,3
5329,PLAUR,3,3,3
5806,PTX3,3,3,3
59272,ACE2,3,3,3
6548,SLC9A1,3,3,3
6571,SLC18A2,3,3,3
7099,TLR4,3,3,3
7130,TNFAIP6,3,3,3
7442,TRPV1,3,3,3
79689,STEAP4,3,3,3
857,CAV1,3,3,3
9467,SH3BP5,3,3,3
573997,zgc:113984,2,2,3
10725,NFAT5,2,2,2
109648,Npy,2,2,2
11423,Ache,2,2,2
12370,Casp8,2,2,2
12371,Casp9,2,2,2
135,ADORA2A,2,2,2
18538,Pcna,2,2,2
1958,EGR1,2,2,2
22035,Tnfsf10,2,2,2
23237,ARC,2,2,2
2353,FOS,2,2,2
24699,Ptprc,2,2,2
24932,Cd4,2,2,2
29517,Sgk1,2,2,2
30725,chrna1,2,2,2
4790,NFKB1,2,2,2
566096,hp,2,2,2
7431,VIM,2,2,2
79213,Slc6a11,2,2,2
83629,Slc12a2,2,2,2
84557,MAP1LC3A,2,2,2
8842,PROM1,2,2,2
11827,Aqp2,1,1,1
11828,Aqp3,1,1,1
1268,CNR1,1,1,1
1302,COL11A2,1,1,1
15530,Hspg2,1,1,1
15550,Htr1a,1,1,1
1644,DDC,1,1,1
192302,hdac1,1,1,1
20544,Slc9a1,1,1,1
2166,FAAH,1,1,1
2321,FLT1,1,1,1
23621,BACE1,1,1,1
24523,Klk1,1,1,1
24768,Scnn1g,1,1,1
24782,Slc9a1,1,1,1
25386,Aqp2,1,1,1
30659,dnmt3bb.2,1,1,1
33569,Thor,1,1,1
402974,pitx3,1,1,1
41709,foxo,1,1,1
43580,sima,1,1,1
4846,NOS3,1,1,1
569250,ehmt2,1,1,1
6549,SLC9A2,1,1,1
6550,SLC9A3,1,1,1
66849,Ppp1r2,1,1,1
7432,VIP,1,1,1
775,CACNA1C,1,1,1
776,CACNA1D,1,1,1
793,CALB1,1,1,1
81646,Creb1,1,1,1
818,CAMK2G,1,1,1
84577,Hdac2,1,1,1
