GeneID,Symbol,TaxID,PathwaySource,PathwayID,PathwayName
6531,SLC6A3,9606,kegg,hsa04721,Synaptic vesicle cycle - Homo sapiens (human)
6531,SLC6A3,9606,kegg,hsa04728,Dopaminergic synapse - Homo sapiens (human)
6531,SLC6A3,9606,kegg,hsa05012,Parkinson disease - Homo sapiens (human)
6531,SLC6A3,9606,kegg,hsa05022,Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)
6531,SLC6A3,9606,kegg,hsa05030,Cocaine addiction - Homo sapiens (human)
6531,SLC6A3,9606,kegg,hsa05031,Amphetamine addiction - Homo sapiens (human)
6531,SLC6A3,9606,kegg,hsa05034,Alcoholism - Homo sapiens (human)
6531,SLC6A3,9606,pid,alphasynuclein_pathway,Alpha-synuclein signaling
6531,SLC6A3,9606,smpdb,SMP00392,Benzocaine Action Pathway
6531,SLC6A3,9606,smpdb,SMP00393,Bupivacaine Action Pathway
6531,SLC6A3,9606,smpdb,SMP00394,Chloroprocaine Action Pathway
6531,SLC6A3,9606,smpdb,SMP00395,Cocaine Action Pathway
6531,SLC6A3,9606,smpdb,SMP00396,Dibucaine Action Pathway
6531,SLC6A3,9606,smpdb,SMP00397,Levobupivacaine Action Pathway
6531,SLC6A3,9606,smpdb,SMP00398,Lidocaine (Local Anaesthetic) Action Pathway
6531,SLC6A3,9606,smpdb,SMP00399,Mepivacaine Action Pathway
6531,SLC6A3,9606,smpdb,SMP00400,Oxybuprocaine Action Pathway
6531,SLC6A3,9606,smpdb,SMP00401,Prilocaine Action Pathway
6531,SLC6A3,9606,smpdb,SMP00402,Procaine Action Pathway
6531,SLC6A3,9606,smpdb,SMP00403,Proparacaine Action Pathway
6531,SLC6A3,9606,smpdb,SMP00404,Ropivacaine Action Pathway
6531,SLC6A3,9606,smpdb,SMP00405,Codeine Action Pathway
6531,SLC6A3,9606,smpdb,SMP00406,Morphine Action Pathway
6531,SLC6A3,9606,smpdb,SMP00407,Heroin Action Pathway
6531,SLC6A3,9606,smpdb,SMP00408,Methadone Action Pathway
6531,SLC6A3,9606,smpdb,SMP00409,Oxycodone Action Pathway
6531,SLC6A3,9606,smpdb,SMP00410,Hydromorphone Action Pathway
6531,SLC6A3,9606,smpdb,SMP00411,Hydrocodone Action Pathway
6531,SLC6A3,9606,smpdb,SMP00412,Oxymorphone Action Pathway
6531,SLC6A3,9606,smpdb,SMP00413,Alfentanil Action Pathway
6531,SLC6A3,9606,smpdb,SMP00414,Carfentanil Action Pathway
6531,SLC6A3,9606,smpdb,SMP00415,Fentanyl Action Pathway
6531,SLC6A3,9606,smpdb,SMP00416,Remifentanil Action Pathway
6531,SLC6A3,9606,smpdb,SMP00417,Sufentanil Action Pathway
6531,SLC6A3,9606,smpdb,SMP00422,Imipramine Action Pathway
6531,SLC6A3,9606,smpdb,SMP00423,Desipramine Action Pathway
6531,SLC6A3,9606,smpdb,SMP00424,Citalopram Action Pathway
