GeneID,Symbol_x,TaxID_x,PathwaySource,PathwayID,PathwayName,GeneConcept,Symbol_y,TaxID_y,Organism
6531,SLC6A3,9606,kegg,hsa04721,Synaptic vesicle cycle - Homo sapiens (human),SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,kegg,hsa04728,Dopaminergic synapse - Homo sapiens (human),SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,kegg,hsa05012,Parkinson disease - Homo sapiens (human),SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,kegg,hsa05022,Pathways of neurodegeneration - multiple diseases - Homo sapiens (human),SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,kegg,hsa05030,Cocaine addiction - Homo sapiens (human),SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,kegg,hsa05031,Amphetamine addiction - Homo sapiens (human),SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,kegg,hsa05034,Alcoholism - Homo sapiens (human),SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,pid,alphasynuclein_pathway,Alpha-synuclein signaling,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00392,Benzocaine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00393,Bupivacaine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00394,Chloroprocaine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00395,Cocaine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00396,Dibucaine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00397,Levobupivacaine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00398,Lidocaine (Local Anaesthetic) Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00399,Mepivacaine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00400,Oxybuprocaine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00401,Prilocaine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00402,Procaine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00403,Proparacaine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00404,Ropivacaine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00405,Codeine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00406,Morphine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00407,Heroin Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00408,Methadone Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00409,Oxycodone Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00410,Hydromorphone Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00411,Hydrocodone Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00412,Oxymorphone Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00413,Alfentanil Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00414,Carfentanil Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00415,Fentanyl Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00416,Remifentanil Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00417,Sufentanil Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00422,Imipramine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00423,Desipramine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00424,Citalopram Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00425,Escitalopram Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00426,Fluoxetine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00431,Nicotine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00671,Tramadol Action Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00672,Propoxyphene Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00673,Levorphanol Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00674,Anileridine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00675,Diphenoxylate Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00676,Dezocine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00677,Levomethadyl Acetate Action Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00678,Methadyl Acetate Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00679,3-Methylthiofentanyl Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00680,Dimethylthiambutene Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00681,Ethylmorphine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00683,Levallorphan Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00684,Buprenorphine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00685,Alvimopan Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00686,Pentazocine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00687,Naltrexone Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00688,Naloxone Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00689,Dihydromorphine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00690,Ketobemidone  Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,smpdb,SMP00691,Nalbuphine Action Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,wikipathways,WP2371,"Parkinson,s disease pathway",SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,wikipathways,WP2855,Dopaminergic Neurogenesis,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,wikipathways,WP2882,Nuclear Receptors Meta-Pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,wikipathways,WP2884,NRF2 pathway,SLC6A3,SLC6A3,,Homo sapiens
6531,SLC6A3,9606,wikipathways,WP727,Monoamine Transport,SLC6A3,SLC6A3,,Homo sapiens
7054,TH,9606,humancyc,PWY66-301,catecholamine biosynthesis,TH,TH,,Homo sapiens
7054,TH,9606,kegg,hsa00350,Tyrosine metabolism - Homo sapiens (human),TH,TH,,Homo sapiens
7054,TH,9606,kegg,hsa00790,Folate biosynthesis - Homo sapiens (human),TH,TH,,Homo sapiens
7054,TH,9606,kegg,hsa04728,Dopaminergic synapse - Homo sapiens (human),TH,TH,,Homo sapiens
7054,TH,9606,kegg,hsa04917,Prolactin signaling pathway - Homo sapiens (human),TH,TH,,Homo sapiens
7054,TH,9606,kegg,hsa05012,Parkinson disease - Homo sapiens (human),TH,TH,,Homo sapiens
7054,TH,9606,kegg,hsa05030,Cocaine addiction - Homo sapiens (human),TH,TH,,Homo sapiens
7054,TH,9606,kegg,hsa05031,Amphetamine addiction - Homo sapiens (human),TH,TH,,Homo sapiens
7054,TH,9606,kegg,hsa05034,Alcoholism - Homo sapiens (human),TH,TH,,Homo sapiens
7054,TH,9606,pid,alphasynuclein_pathway,Alpha-synuclein signaling,TH,TH,,Homo sapiens
7054,TH,9606,pid,ap1_pathway,AP-1 transcription factor network,TH,TH,,Homo sapiens
7054,TH,9606,pid,atf2_pathway,ATF-2 transcription factor network,TH,TH,,Homo sapiens
7054,TH,9606,pid,p38_mk2pathway,p38 signaling mediated by MAPKAP kinases,TH,TH,,Homo sapiens
7054,TH,9606,smpdb,SMP00012,Catecholamine Biosynthesis,TH,TH,,Homo sapiens
7054,TH,9606,smpdb,SMP00170,Aromatic L-Aminoacid Decarboxylase Deficiency,TH,TH,,Homo sapiens
7054,TH,9606,smpdb,SMP00497,Tyrosine hydroxylase deficiency,TH,TH,,Homo sapiens
7054,TH,9606,wikipathways,WP1602,Nicotine Activity on Dopaminergic Neurons,TH,TH,,Homo sapiens
7054,TH,9606,wikipathways,WP2371,"Parkinson,s disease pathway",TH,TH,,Homo sapiens
7054,TH,9606,wikipathways,WP2436,Dopamine metabolism,TH,TH,,Homo sapiens
7054,TH,9606,wikipathways,WP2855,Dopaminergic Neurogenesis,TH,TH,,Homo sapiens
7054,TH,9606,wikipathways,WP3925,Amino Acid metabolism,TH,TH,,Homo sapiens
7054,TH,9606,wikipathways,WP550,Biogenic Amine Synthesis,TH,TH,,Homo sapiens
7054,TH,9606,wikipathways,WP706,Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways,TH,TH,,Homo sapiens
7054,TH,9606,wikipathways,WP727,Monoamine Transport,TH,TH,,Homo sapiens
6571,SLC18A2,9606,kegg,hsa04721,Synaptic vesicle cycle - Homo sapiens (human),SLC18A2,SLC18A2,,Homo sapiens
6571,SLC18A2,9606,kegg,hsa04726,Serotonergic synapse - Homo sapiens (human),SLC18A2,SLC18A2,,Homo sapiens
