PathwaySource,PathwayID,PathwayName,Genes
kegg,hsa05200,Pathways in cancer - Homo sapiens (human),21
wikipathways,WP4754,IL-18 signaling pathway,21
kegg,hsa05417,Lipid and atherosclerosis - Homo sapiens (human),20
kegg,hsa04151,PI3K-Akt signaling pathway - Homo sapiens (human),17
kegg,hsa04933,AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human),17
kegg,hsa05164,Influenza A - Homo sapiens (human),17
kegg,hsa05205,Proteoglycans in cancer - Homo sapiens (human),17
kegg,hsa05418,Fluid shear stress and atherosclerosis - Homo sapiens (human),17
kegg,mmu04024,cAMP signaling pathway - Mus musculus (mouse),17
kegg,mmu05022,Pathways of neurodegeneration - multiple diseases - Mus musculus (mouse),17
wikipathways,WP3888,VEGFA-VEGFR2 Signaling Pathway,17
kegg,hsa04620,Toll-like receptor signaling pathway - Homo sapiens (human),16
kegg,hsa05022,Pathways of neurodegeneration - multiple diseases - Homo sapiens (human),16
wikipathways,WP1449,Regulation of toll-like receptor signaling pathway,16
wikipathways,WP4172,PI3K-Akt signaling pathway,16
wikipathways,WP706,Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways,16
wikipathways,WP75,Toll-like Receptor Signaling Pathway,16
kegg,hsa04060,Cytokine-cytokine receptor interaction - Homo sapiens (human),15
kegg,hsa05152,Tuberculosis - Homo sapiens (human),15
kegg,hsa05163,Human cytomegalovirus infection - Homo sapiens (human),15
kegg,hsa05171,Coronavirus disease - COVID-19 - Homo sapiens (human),15
kegg,mmu05200,Pathways in cancer - Mus musculus (mouse),15
wikipathways,WP2431,Spinal Cord Injury,15
kegg,hsa04010,MAPK signaling pathway - Homo sapiens (human),14
kegg,hsa05142,Chagas disease - Homo sapiens (human),14
kegg,hsa05167,Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human),14
kegg,hsa05323,Rheumatoid arthritis - Homo sapiens (human),14
kegg,mmu05417,Lipid and atherosclerosis - Mus musculus (mouse),14
wikipathways,WP3932,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,14
wikipathways,WP4298,Acute viral myocarditis,14
kegg,hsa04066,HIF-1 signaling pathway - Homo sapiens (human),13
kegg,hsa05010,Alzheimer disease - Homo sapiens (human),13
kegg,hsa05020,Prion disease - Homo sapiens (human),13
kegg,hsa05132,Salmonella infection - Homo sapiens (human),13
kegg,hsa05135,Yersinia infection - Homo sapiens (human),13
kegg,hsa05161,Hepatitis B - Homo sapiens (human),13
kegg,mmu04080,Neuroactive ligand-receptor interaction - Mus musculus (mouse),13
kegg,mmu04210,Apoptosis - Mus musculus (mouse),13
kegg,mmu05010,Alzheimer disease - Mus musculus (mouse),13
kegg,mmu05161,Hepatitis B - Mus musculus (mouse),13
wikipathways,WP4659,Gastrin signaling pathway,13
wikipathways,WP4666,Hepatitis B infection,13
kegg,hsa04024,cAMP signaling pathway - Homo sapiens (human),12
kegg,hsa04510,Focal adhesion - Homo sapiens (human),12
kegg,hsa04657,IL-17 signaling pathway - Homo sapiens (human),12
kegg,hsa04668,TNF signaling pathway - Homo sapiens (human),12
kegg,hsa05162,Measles - Homo sapiens (human),12
kegg,hsa05165,Human papillomavirus infection - Homo sapiens (human),12
kegg,hsa05168,Herpes simplex virus 1 infection - Homo sapiens (human),12
kegg,hsa05169,Epstein-Barr virus infection - Homo sapiens (human),12
kegg,hsa05170,Human immunodeficiency virus 1 infection - Homo sapiens (human),12
kegg,mmu05014,Amyotrophic lateral sclerosis - Mus musculus (mouse),12
kegg,mmu05152,Tuberculosis - Mus musculus (mouse),12
wikipathways,WP306,Focal Adhesion,12
kegg,hsa04015,Rap1 signaling pathway - Homo sapiens (human),11
kegg,hsa04621,NOD-like receptor signaling pathway - Homo sapiens (human),11
kegg,hsa05031,Amphetamine addiction - Homo sapiens (human),11
kegg,hsa05131,Shigellosis - Homo sapiens (human),11
kegg,hsa05133,Pertussis - Homo sapiens (human),11
kegg,hsa05146,Amoebiasis - Homo sapiens (human),11
kegg,hsa05160,Hepatitis C - Homo sapiens (human),11
kegg,mmu05170,Human immunodeficiency virus 1 infection - Mus musculus (mouse),11
pid,ap1_pathway,AP-1 transcription factor network,11
wikipathways,WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,11
kegg,hsa04062,Chemokine signaling pathway - Homo sapiens (human),10
kegg,hsa04218,Cellular senescence - Homo sapiens (human),10
kegg,hsa04660,T cell receptor signaling pathway - Homo sapiens (human),10
kegg,hsa04915,Estrogen signaling pathway - Homo sapiens (human),10
kegg,hsa04932,Non-alcoholic fatty liver disease - Homo sapiens (human),10
kegg,hsa05130,Pathogenic Escherichia coli infection - Homo sapiens (human),10
kegg,hsa05145,Toxoplasmosis - Homo sapiens (human),10
kegg,hsa05166,Human T-cell leukemia virus 1 infection - Homo sapiens (human),10
kegg,mmu04217,Necroptosis - Mus musculus (mouse),10
kegg,mmu05145,Toxoplasmosis - Mus musculus (mouse),10
kegg,mmu05164,Influenza A - Mus musculus (mouse),10
netpath,Pathway_EGFR1,EGFR1,10
wikipathways,WP2328,Allograft Rejection,10
wikipathways,WP3624,Lung fibrosis,10
wikipathways,WP4396,Nonalcoholic fatty liver disease,10
kegg,hsa04020,Calcium signaling pathway - Homo sapiens (human),9
kegg,hsa04061,Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human),9
kegg,hsa04210,Apoptosis - Homo sapiens (human),9
kegg,hsa04725,Cholinergic synapse - Homo sapiens (human),9
kegg,hsa04728,Dopaminergic synapse - Homo sapiens (human),9
kegg,hsa05012,Parkinson disease - Homo sapiens (human),9
kegg,hsa05140,Leishmaniasis - Homo sapiens (human),9
kegg,hsa05144,Malaria - Homo sapiens (human),9
kegg,hsa05210,Colorectal cancer - Homo sapiens (human),9
kegg,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human),9
kegg,mmu04151,PI3K-Akt signaling pathway - Mus musculus (mouse),9
kegg,mmu04657,IL-17 signaling pathway - Mus musculus (mouse),9
kegg,mmu04932,Non-alcoholic fatty liver disease - Mus musculus (mouse),9
kegg,mmu05012,Parkinson disease - Mus musculus (mouse),9
kegg,mmu05020,Prion disease - Mus musculus (mouse),9
kegg,mmu05132,Salmonella infection - Mus musculus (mouse),9
kegg,mmu05160,Hepatitis C - Mus musculus (mouse),9
kegg,mmu05162,Measles - Mus musculus (mouse),9
kegg,mmu05168,Herpes simplex virus 1 infection - Mus musculus (mouse),9
pid,atf2_pathway,ATF-2 transcription factor network,9
reactome,R-RNO-382551,Transport of small molecules,9
wikipathways,WP2355,Corticotropin-releasing hormone signaling pathway,9
wikipathways,WP2374,Oncostatin M Signaling Pathway,9
wikipathways,WP2882,Nuclear Receptors Meta-Pathway,9
wikipathways,WP382,MAPK Signaling Pathway,9
wikipathways,WP4329,miRNAs involvement in the immune response in sepsis,9
wikipathways,WP4341,"Non-genomic actions of 1,25 dihydroxyvitamin D3",9
wikipathways,WP4891,COVID-19 adverse outcome pathway,9
wikipathways,WP5039,SARS-CoV-2 innate immunity evasion and cell-specific immune response,9
wikipathways,WP615,Senescence and Autophagy in Cancer,9
kegg,hsa04014,Ras signaling pathway - Homo sapiens (human),8
kegg,hsa04071,Sphingolipid signaling pathway - Homo sapiens (human),8
kegg,hsa04217,Necroptosis - Homo sapiens (human),8
kegg,hsa04380,Osteoclast differentiation - Homo sapiens (human),8
kegg,hsa04630,JAK-STAT signaling pathway - Homo sapiens (human),8
