UMAP1,UMAP2,PMID,Title,Year,Cluster
18.920195,16.203083,42675027,A strategic pathway for the ethical development of AI tools in dementia care.,2026,4
19.036865,15.902846,42611393,Congenital goitrous hypothyroidism due to thyroglobulin deficiency associated with angioinvasive follicular thyroid carcinoma: comprehensive and integral analysis of the p.Cys1897_Glu1900 deletion.,2026,4
18.763962,15.75989,42601945,Placental SNV rs8192446 in the ADORA2A gene is associated with Preeclampsia: a pilot study.,2026,3
18.9644,15.715616,42576265,Serum aquaporin-1 increases with heart failure and aortic valve surgery with cardiopulmonary bypass.,2026,4
18.633577,16.073496,42570776,"Dopamine D2 receptor dependent and independent structural, intrinsic and synaptic adaptations in experimental parkinsonism.",2026,2
18.571121,15.92241,42404802,Region-specific features of early glial activation and Aquaporin-4 dysregulation in conditional mouse models of TDP-43 proteinopathies.,2026,2
19.175817,16.258158,42347511,Recombinant Human Fab Antibodies Differentially Neutralize Shiga Toxin in Renal Epithelial and Endothelial Cells.,2026,6
18.951344,15.807644,42327001,Maternal obesity shapes associations between preeclampsia and birthweight in pregnancies exposed to low-dose aspirin.,2026,3
19.286879,16.005373,42313886,Learning engages transient and sustained cellular mechanisms in the human brain.,2026,4
18.651382,15.991905,42134656,TDP-43 expression in the cytoplasm leads to early synaptic and mitochondrial abnormalities in an inducible mouse model of ALS/FTD.,2026,2
18.759527,15.750818,42123443,Effect of Sertraline on Fetoplacental Growth Parameters and Placental Transporter Gene Expression in Rats.,2026,3
19.0799,16.016691,42097396,"Towards a strategic assessment of brain sciences in Latin America: current status, strengths and structural needs.",2026,4
18.753002,16.383957,42086667,Hippocampal astrocytic GAT-3 blockade impairs protein synthesis and spatial memory dynamics.,2026,1
19.070377,15.8628645,41950695,"Corrigendum to ""Aquaporin-1 and aquaporin-4 in human placental angiogenesis: insights into the critical interaction with caveolin-1"" [Placenta 168 (2025) 111-123].",2026,4
14.824575,12.532929,41933672,Aquaporin-4 participates in the migration of retinal Müller cells by facilitating water transport and cytoskeleton reorganization.,2026,8
14.337445,12.782221,41824201,Targeting pH regulation in cancer: combined mild alkaline treatment and NHE1 inhibition as a potential therapy for clear cell renal cell carcinoma.,2026,8
16.866293,17.140894,41817828,Dopaminergic Modulation of Striatal Somatostatin Interneurons Shapes Motor Learning and L-DOPA-Induced Dyskinesia.,2026,2
13.069229,12.749222,41800087,Eliglustat prevents acute kidney injury caused by Shiga toxin 2 in lethal and sublethal rat models of hemolytic uremic syndrome.,2026,5
15.2233,17.192795,41743514,Premature release of action sequences in adolescent male rats.,2026,4
