Affiliation,N_records,N_papers,N_authors
"Cátedra de Biología Celular y Molecular, Departamento de Ciencias Biológicas, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Buenos Aires, Argentina.",15,12,5
"Laboratorio de Biología de la Reproducción, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO)- CONICET- Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.",11,7,7
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.",11,5,8
"Instituto de Fisiología y Biofísica (IFIBIO UBA-CONICET), Facultad de Medicina, Universidad de Buenos Aires (UBA), Buenos Aires, Argentina.",4,4,1
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina. Electronic address: ibarra@fmed.uba.ar.",3,3,1
"Departamento de Ciencias Biológicas, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Buenos Aires, Argentina.",5,3,4
"IFIBIO Houssay, CONICET, Physiopathology, Pharmacy and Biochemistry Faculty, Universidad de Buenos Aires, Buenos Aires, Argentina.",6,3,2
"Departamento de Ciencias Fisiológicas IFIBIO Houssay, CONICET, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina; Cátedra de Fisiopatología, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Buenos Aires, Argentina.",4,3,2
"Institute of Biological Sciences and Health, Federal University of Mato Grosso, Barra do Garças, Brazil.",5,3,3
"Universidad de Buenos Aires (UBA-CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO-Houssay), Laboratorio de Biología de la Reproducción, Facultad de Medicina, Buenos Aires, Argentina; Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Buenos Aires, Argentina.",3,3,2
"Universidad de Buenos Aires (UBA-CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO-Houssay), Laboratorio de Biología de la Reproducción, Facultad de Medicina, Buenos Aires, Argentina. Electronic address: noraalicia.martinez@gmail.com.",3,3,2
"Universidad de Buenos Aires (UBA-CONICET), Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO-Houssay), Laboratorio de Biología de la Reproducción, Facultad de Medicina, Buenos Aires, Argentina.",3,3,1
"Universidad de Buenos Aires (UBA-CONICET), Centro de Estudios Farmacológicos y Botánicos (CEFYBO), Laboratorio de Fisiopatología Placentaria, Facultad de Medicina, Buenos Aires, Argentina.",6,3,4
"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires 1121, Argentina.",13,3,8
"Unidad de Nefrología, Hospital General de Niños Ricardo Gutiérrez, Buenos Aires, Argentina.",9,3,6
"Laboratorio de Neurofarmacología de los Procesos de Memoria, Cátedra de Farmacología, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires (UBA), Buenos Aires, Argentina.",8,3,4
"Central Laboratory, Hospital Británico de Buenos Aires, Buenos Aires, Argentina.",12,3,4
"Instituto de Fisiología y Biofísica (IFIBIO) Bernardo Houssay, Grupo de Neurociencia de Sistemas, Universidad de Buenos Aires, CONICET, Buenos Aires, Argentina.",8,3,8
"Nephrology, Hospital Británico de Buenos Aires, Buenos Aires, Argentina.",22,3,9
"Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Universidad de Buenos Aires, Buenos Aires, Argentina.",10,3,8
"Departamento de Fisiología, Facultad de Medicina, Universidad de Buenos Aires (UBA), Buenos Aires, Argentina.",6,3,3
"Universidad de Buenos Aires, Facultad de Medicina, Departamento de Ciencias Fisiológicas, Buenos Aires, Argentina.",3,2,3
"Laboratorio de Biología de la Reproducción, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO), CONICET, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.",2,2,2
"Universidad de Buenos Aires, Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica ''Houssay"" (IFIBIO), Laboratorio de Neurofisiopatología, Facultad de Medicina, Paraguay 2155 Piso 7, 1121, Ciudad de Buenos Aires, Argentina.",6,2,4
"Laboratorio de Biología de la Reproducción, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO), CONICET, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina; Cátedra de Biología Celular y Molecular, Departamento de Ciencias Biológicas, Facultad de Farmacia y Bioquímica, Universidad de Buenos Aires, Buenos Aires, Argentina. Electronic address: adamiano@ffyb.uba.ar.",2,2,1
"Centro Nacional de Control de Calidad de Biológicos (CNCCB), ""ANLIS, Dr. Carlos G. Malbrán"", Avenida Vélez Sarsfield 563, 1282, Ciudad de Buenos Aires, Argentina.",4,2,2
"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Departamento de Ciencias Biológicas, Cátedra de Biología Celular y Molecular, Buenos Aires, Argentina; Universidad de Buenos Aires, CONICET, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Laboratorio de Biología de la Reproducción, Buenos Aires, Argentina. Electronic address: adamiano@ffyb.uba.ar.",2,2,1
"Instituto Tecnológico de Buenos Aires (ITBA), Buenos Aires, Argentina.",3,2,3
"Instituto Cajal, Consejo Superior de Investigaciones Científicas (CSIC), Madrid, Spain; Centro de Investigación Biomédica en Red sobre Enfermedades Neurodegenerativas (CIBERNED), Instituto de Salud Carlos III, Madrid, Spain. Electronic address: moratalla@cajal.csic.es.",2,2,1
"Institute of Biological Sciences, Federal University of Goias, Goiânia, Brazil.",6,2,5
"Instituto Cajal, Consejo Superior de Investigaciones Científicas (CSIC), Madrid, Spain.",3,2,3
