Author,N_Publications
Damiano A,45
Ibarra C,32
Amaral M,27
Murer M,27
Zotta E,25
Sacerdoti F,22
Capurro C,21
Martinez N,21
Belforte J,16
Igaz L,16
Della-Maggiore V,15
Farina M,13
Faillace M,13
Di Giusto G,13
Reppetti J,13
Silberstein C,12
Rela L,12
Ford P,12
Bernabeu R,12
Giachini F,11
Goldstein J,10
Alvarez R,9
Escudero C,9
Paz R,9
Weisstaub N,9
Blake M,9
Tubert C,9
Pinto A,9
Palermo M,9
Forrester M,8
Rengel T,8
Boccia M,8
Ibarra F,8
Canzonieri R,8
Rivarola V,8
Muryan A,8
Belluscio M,8
Galaviz-Hernandez C,8
Schiel A,8
Trimarchi H,8
Morici J,8
Pomeranz V,8
Netti V,8
Gomez F,7
Iriarte R,7
Moratalla R,7
Zold C,7
Lombi F,7
Politi M,7
Medina Y,7
Paulero M,7
Krawczyk M,7
Vassallu F,7
Pisera-Fuster A,7
Garimano N,6
Azurmendi P,6
Taravini I,6
Sosa-Macias M,6
Oddo E,6
Stern A,6
Fernandez J,6
Di Ciano L,6
Cataldi A,6
Szpilbarg N,6
Sanchez D,6
Pagani M,6
Bekinschtein P,6
Pizzoni A,6
Casal J,6
Vlachovsky S,6
Stahl A,5
Paton A,5
Beltramone N,5
Costales-Collaguazo C,5
Toriano R,5
Paton J,5
Etcheverry T,5
Lima V,5
Cangelosi A,5
Solano A,5
Geoghegan P,5
Lerner G,5
Gallo F,5
Miranda M,5
Jacobacci F,5
Andrews J,5
Araoz A,5
Politei J,5
Fischer Sigel L,5
Ochoa F,5
Merlo E,4
Garcia-Robles R,4
Deleglise A,4
Braz B,4
Medina J,4
Seyahian E,4
Medrano M,4
Piazza R,4
Perez-Chada D,4
Kasanetz F,4
Cutrera R,4
Scalise M,4
Pafundo D,4
Sierra M,4
Griffa G,4
Gomez G,4
Yeffal A,4
Castro-Parodi M,4
Castro Parodi M,4
Luz D,4
Corominas A,4
Silva A,4
Keifman E,4
Martinez M,4
Millan J,4
Vilte D,4
Franchi A,4
Repetto H,4
Ayala-Ramirez P,4
Casale R,3
Bumaschny V,3
Bustamante J,3
Pasquini J,3
San Martin A,3
Leguizamon G,3
Jancic C,3
Pretell Annan C,3
Katz M,3
Celi A,3
Jovicich J,3
Seyahian A,3
Bortman G,3
Bentancor L,3
Di Paola M,3
Gornalusse G,3
Amaro E,3
Albanese A,3
Vallejo G,3
Barragan-Zuniga L,3
Gonzalez M,3
Balestracci A,3
Fernandez N,3
Fernandez-Brando R,3
Galinanes G,3
Ferreira R,3
Reynoso M,3
Ferreyra R,3
Armony J,3
Marques da Silva W,3
Villalta J,3
Viola H,3
Mercado E,3
Piriz J,3
Riquelme L,3
Piazza A,3
Bernal A,3
Aban C,3
Gaudric J,3
Rocco L,3
Acosta L,3
Bello E,3
Dorr R,3
Piantanida A,3
Echevarria M,3
Doyon J,3
Liern M,3
Berdasco C,3
Chinen I,2
Rayes D,2
Gershanik O,2
Colazo A,2
Gingrich J,2
Ramos-Hryb A,2
Cocca M,2
Schwarzbaum P,2
Ramos M,2
Goette N,2
RIVA-TREM,2
Gerhardt E,2
Quintilio W,2
Ozu M,2
Girard M,2
Gelb B,2
Fullana J,2
Correale J,2
Coletti M,2
Coll C,2
Henrique C,2
Romano A,2
Donnelly-Kehoe P,2
Rubinstein M,2
Escande M,2
Chen G,2
Greer C,2
De Marzi M,2
Granado N,2
Huang S,2
Da Rocha M,2
Sanchez-Nino M,2
Gonzalez-Hoyos I,2
Cutrera N,2
Feld M,2
Fernandez Brando R,2
Gonzalez L,2
Henrique I,2
Gonzalez G,2
Palombo M,2
Fiorentino G,2
Karadayian A,2
Roguin L,2
Ortiz A,2
Lombardi P,2
Balconi S,2
Ballarini F,2
Bazzi Z,2
Beccaria J,2
Lores-Arnaiz S,2
Lopez M,2
Urbano F,2
Bentancor A,2
Moro A,2
Blanco-Castaneda R,2
Nevian T,2
