Year,Author,N_Publications
2014,Alfieri J,1
2014,Amaral M,1
2014,Cammarota M,1
2014,Franchi A,1
2014,Gonzalez M,1
2014,Ibarra C,2
2014,Igaz L,1
2014,Katche C,1
2014,Kramar C,1
2014,Marquez L,1
2014,Medina J,1
2014,Pagani M,1
2014,Paton A,1
2014,Paton J,1
2014,Pino N,1
2014,Repetto H,1
2014,Sacerdoti F,1
2014,San Martin A,1
2014,Silberstein C,1
2014,Tomaiuolo M,1
2014,Velazquez N,1
2014,Weisstaub N,1
2014,Zotta E,1
2015,Aisemberg J,1
2015,Albanese A,1
2015,Amaral M,2
2015,Amigo N,2
2015,Andrews J,1
2015,Araoz A,1
2015,Bekinschtein P,1
2015,Belforte J,1
2015,Bentancor A,1
2015,Bernabeu R,1
2015,Bordey A,1
2015,Braz B,1
2015,Bustamante J,1
2015,Cabral P,1
2015,Canzonieri R,1
2015,Capurro C,1
2015,Cataldi A,2
2015,Ciccia L,1
2015,Cutrera R,1
2015,Cymeryng C,1
2015,Czerniczyniec A,1
2015,Damiano A,1
2015,Della-Maggiore V,1
2015,Dietrich V,1
2015,Faillace M,1
2015,Forrester M,1
2015,Franchi A,1
2015,Galinanes G,1
2015,Garcia H,1
2015,Garvin J,1
2015,Gerhardt E,2
2015,Gingrich J,1
2015,Girard M,1
2015,Gonzalez M,1
2015,Grafton S,1
2015,Greer C,1
2015,Gueugneau N,1
2015,Ibarra C,4
2015,Igaz L,1
2015,Karadayian A,1
2015,Karl A,1
2015,Larzabal M,1
2015,Lombardi P,1
2015,Lombi F,1
2015,Lores-Arnaiz S,1
2015,Malleret G,1
2015,Manning S,1
2015,Mc Cabe S,1
2015,Medina J,1
2015,Mercado E,1
2015,Morici J,1
2015,Murer M,1
2015,Muryan A,1
2015,Piantanida A,1
2015,Pomeranz V,1
2015,Rela L,1
2015,Rengel T,1
2015,Repetto H,1
2015,Rivera F,1
2015,Sacerdoti F,2
2015,Schiel A,1
2015,Singh P,1
2015,Taravini I,1
2015,Trimarchi H,1
2015,Villalta J,1
2015,Villar M,1
2015,Vilte D,1
2015,Viola H,1
2015,Weisstaub N,1
2015,Zotta E,3
2015,Zwiller J,1
2016,Aban C,2
2016,Albamonte I,1
2016,Alfieri J,1
2016,Alvarez R,1
2016,Amaral M,1
2016,Amodeo G,1
2016,Andrews J,4
2016,Araoz A,4
2016,Avale M,1
2016,Belforte J,1
2016,Bisagno V,1
2016,Blake M,1
2016,Boccia M,1
2016,Bruballa A,1
2016,Canzonieri R,4
2016,Carou C,1
2016,Castro-Parodi M,2
2016,Chara O,1
2016,Costales-Collaguazo C,1
2016,Damiano A,4
2016,De Oliveira L,1
2016,Della-Maggiore V,1
2016,Escande M,1
2016,Farina M,3
2016,Feld M,1
2016,Fernandez E,1
2016,Fernandez J,1
2016,Flores-Barrera E,1
2016,Forrester M,4
2016,Franchi A,1
2016,Fresno C,1
2016,Fullana J,1
2016,Garcia-Rill E,1
2016,Gaudric J,1
2016,Gershanik O,1
2016,Ghigo A,1
2016,Gingrich J,1
2016,Goitia B,1
2016,Gomez G,1
2016,Gonzalez G,1
2016,Herlax V,1
2016,Ibarra C,1
2016,Ibarra F,1
2016,Igaz L,1
2016,Iriarte R,4
2016,Khelifa I,1
2016,Krawczyk M,1
2016,Lagree P,1
2016,Larramendy C,1
2016,Leguizamon G,2
2016,Levi L,1
2016,Lombi F,3
2016,Lombi M,1
2016,Marquez L,1
2016,Martinez N,4
2016,Maskin B,1
2016,Mate S,1
2016,Mejias M,1
2016,Murer M,3
2016,Muryan A,4
2016,Navarro N,1
2016,Nogueira-Campos A,1
2016,Ortiz A,1
2016,Ozu M,1
2016,Palermo M,1
2016,Paulero M,4
2016,Piehl L,1
2016,Politei J,3
2016,Politi M,1
2016,Pomeranz V,4
2016,Prost M,1
2016,Rela L,1
2016,Rengel T,4
2016,Repetto H,1
2016,Repetto M,1
2016,Reppetti J,1
2016,Rivero-Echeto M,1
2016,Rodrigues E,1
2016,Romano A,1
2016,Rubin De Celis E,1
2016,Saborido M,1
2016,Sacerdoti F,1
2016,Sanchez G,1
2016,Sanchez-Nino M,1
2016,Saunier G,1
2016,Schiel A,4
2016,Seyahian A,1
2016,Silberstein C,1
2016,Silva P,1
2016,Spaans F,1
2016,Stern A,3
2016,Sutka M,1
2016,Szpilbarg N,1
2016,Taravini I,3
2016,Toro A,1
2016,Trigubo D,1
2016,Trimarchi H,4
2016,Tseng K,1
2016,Tubert C,1
2016,Urbano F,1
2016,Vargas C,1
2016,Vitali V,1
2016,Weisstaub N,1
2016,Young P,2
2016,Zold C,1
2016,Zotta E,4
2017,Abrey Recalde M,1
2017,Albanese A,1
2017,Alberto F,1
2017,Alcala M,1
2017,Alconcher L,1
2017,Alleva K,1
2017,Alvarez R,2
2017,Amaral M,3
2017,Asturizaga P,1
2017,Ballarini F,1
2017,Battista A,1
2017,Beccaria J,1
2017,Bejarano A,1
2017,Bejarano C,1
2017,Bekinschtein P,1
2017,Belforte J,2
2017,Bello E,1
2017,Belluscio M,1
2017,Bentancor A,1
2017,Bentancor L,1
2017,Bernabeu R,3
2017,Blake M,2
2017,Boccia M,2
2017,Braz B,2
2017,Briones G,1
2017,Bruballa A,1
2017,Bruno-Blanch L,1
2017,Bueno J,1
2017,Bussey T,1
2017,Cadavid A,1
2017,Calderon-Dominguez M,1
2017,Canessa Fortuna A,1
2017,Cangelosi A,1
2017,Cantet R,1
2017,Canzonieri R,2
2017,Capurro C,2
2017,Casas-Cordero R,1
2017,Casey E,1
2017,Castro Parodi M,1
2017,Cataldi A,1
2017,Chinen I,1
2017,Christensen M,1
2017,Ciocchini A,1
2017,Clapes S,1
2017,Coll L,1
2017,Costales-Collaguazo C,2
2017,Da Rocha M,1
2017,Damiano A,4
2017,Della-Maggiore V,1
2017,Di Giusto G,2
2017,Escudero C,1
2017,Exeni R,1
2017,Faillace M,2
2017,Fernandez Brando R,1
2017,Fernandez J,1
2017,Fernandez-Brando R,1
2017,Ford P,2
2017,Forrester M,2
2017,Freudenthal R,1
2017,Galaviz-Hernandez C,1
2017,Galinanes G,2
2017,Gallo F,1
2017,Gelb B,1
2017,Geoghegan P,1
2017,Giachini F,1
2017,Girard M,1
2017,Goldman R,1
2017,Goldstein J,1
2017,Gonzalez-Hoyos I,1
2017,Hermes R,1
2017,Hussain Shuler M,1
2017,Ibarra C,5
2017,Iotti A,1
2017,Iriarte R,2
2017,Jozefkowicz C,1
2017,Kalstein M,1
2017,Kent B,1
2017,Kovacevic N,1
2017,Krawczyk M,2
2017,Lago N,1
2017,Landriel M,1
2017,Lempel A,1
2017,Levy J,1
2017,Lima V,1
2017,Lombi F,2
2017,Lopes da Cunha P,1
2017,Martinez M,1
2017,Martinez N,2
2017,Martorelli L,1
2017,Martos Y,1
2017,McIntosh A,1
2017,Medrano M,2
2017,Mejias M,1
2017,Melendi S,1
2017,Mercado E,1
2017,Miranda M,1
2017,Morici J,1
2017,Murer M,3
2017,Muryan A,2
2017,Namboodiri V,1
2017,Navarro N,1
2017,Netti V,1
2017,Noain D,1
2017,Ochoa F,1
2017,Oltra G,1
2017,Ortiz A,1
2017,Otero S,1
2017,Ozu M,1
2017,Pagani M,1
2017,Palermo M,2
2017,Paton A,2
2017,Paton J,2
2017,Paulero M,2
2017,Pinto A,1
2017,Piriz J,1
