Author,Damiano A,Ibarra C,Murer M,Amaral M,Zotta E,Sacerdoti F,Capurro C,Martinez N,Igaz L,Belforte J,Della-Maggiore V,Farina M,Reppetti J,Di Giusto G,Faillace M,Silberstein C,Rela L,Ford P,Bernabeu R,Giachini F,Goldstein J,Tubert C,Paz R,Pinto A,Weisstaub N,Palermo M,Alvarez R,Escudero C,Blake M,Morici J,Canzonieri R,Rengel T,Boccia M,Rivarola V,Netti V,Muryan A,Pomeranz V,Schiel A,Belluscio M,Forrester M,Trimarchi H,Galaviz-Hernandez C,Ibarra F,Politi M,Vassallu F,Zold C,Gomez F,Medina Y,Iriarte R,Paulero M,Krawczyk M,Lombi F,Moratalla R,Pisera-Fuster A,Garimano N,Szpilbarg N,Azurmendi P,Vlachovsky S,Bekinschtein P,Taravini I,Sosa-Macias M,Stern A,Fernandez J,Sanchez D,Oddo E,Pagani M,Di Ciano L,Cataldi A,Casal J,Pizzoni A
Damiano A,0,4,0,2,2,3,0,17,0,0,0,11,11,1,0,0,0,0,0,11,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,7,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Ibarra C,4,0,0,22,6,17,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0
Murer M,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Amaral M,2,22,0,0,3,20,0,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
Zotta E,2,6,0,3,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,2,1,0,0,0,8,8,0,0,0,8,8,8,0,8,8,0,0,0,0,0,1,0,7,7,0,7,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,3,0,0
Sacerdoti F,3,17,0,20,4,0,0,1,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
Capurro C,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,6
Martinez N,17,0,0,1,0,1,0,0,0,0,0,11,8,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Igaz L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belforte J,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
