Author1,Author2,Weight
Amaral M,Ibarra C,22
Amaral M,Sacerdoti F,20
Ibarra C,Sacerdoti F,17
Damiano A,Martinez N,17
Capurro C,Di Giusto G,12
Capurro C,Ford P,12
Damiano A,Reppetti J,11
Bernabeu R,Faillace M,11
Farina M,Martinez N,11
Di Giusto G,Ford P,11
Damiano A,Giachini F,11
Damiano A,Farina M,11
Goldstein J,Pinto A,9
Damiano A,Escudero C,9
Pomeranz V,Schiel A,8
Murer M,Tubert C,8
Pomeranz V,Trimarchi H,8
Muryan A,Zotta E,8
Murer M,Rela L,8
Muryan A,Trimarchi H,8
Muryan A,Schiel A,8
Pomeranz V,Zotta E,8
Muryan A,Rengel T,8
Muryan A,Pomeranz V,8
Pomeranz V,Rengel T,8
Forrester M,Schiel A,8
Forrester M,Zotta E,8
Forrester M,Trimarchi H,8
Rengel T,Trimarchi H,8
Forrester M,Rengel T,8
Forrester M,Pomeranz V,8
Forrester M,Muryan A,8
Canzonieri R,Zotta E,8
Canzonieri R,Trimarchi H,8
Canzonieri R,Schiel A,8
Canzonieri R,Rengel T,8
Canzonieri R,Pomeranz V,8
Canzonieri R,Muryan A,8
Canzonieri R,Forrester M,8
Damiano A,Galaviz-Hernandez C,8
Escudero C,Giachini F,8
Rengel T,Schiel A,8
Rengel T,Zotta E,8
Belforte J,Murer M,8
Martinez N,Reppetti J,8
Schiel A,Trimarchi H,8
Blake M,Boccia M,8
Di Giusto G,Rivarola V,8
Capurro C,Rivarola V,8
Ford P,Rivarola V,8
Schiel A,Zotta E,8
Murer M,Paz R,8
Trimarchi H,Zotta E,8
Ibarra C,Palermo M,8
Damiano A,Medina Y,7
Paulero M,Zotta E,7
Paulero M,Pomeranz V,7
Paulero M,Rengel T,7
Paulero M,Schiel A,7
Paulero M,Trimarchi H,7
Canzonieri R,Lombi F,7
Boccia M,Krawczyk M,7
Blake M,Krawczyk M,7
Amaral M,Gomez F,7
Iriarte R,Zotta E,7
Escudero C,Galaviz-Hernandez C,7
Bernabeu R,Pisera-Fuster A,7
Muryan A,Paulero M,7
Igaz L,Vassallu F,7
Iriarte R,Trimarchi H,7
Iriarte R,Schiel A,7
Moratalla R,Murer M,7
Morici J,Weisstaub N,7
Canzonieri R,Iriarte R,7
Canzonieri R,Paulero M,7
Forrester M,Iriarte R,7
Forrester M,Paulero M,7
Lombi F,Zotta E,7
Lombi F,Trimarchi H,7
Lombi F,Schiel A,7
Lombi F,Rengel T,7
Lombi F,Pomeranz V,7
Iriarte R,Muryan A,7
Lombi F,Muryan A,7
Iriarte R,Paulero M,7
Iriarte R,Pomeranz V,7
Iriarte R,Rengel T,7
Forrester M,Lombi F,7
Alvarez R,Amaral M,7
Amaral M,Palermo M,7
Damiano A,Sosa-Macias M,6
Ibarra F,Silberstein C,6
Lombi F,Paulero M,6
Iriarte R,Stern A,6
Iriarte R,Lombi F,6
Forrester M,Stern A,6
Canzonieri R,Stern A,6
Ibarra C,Zotta E,6
Bekinschtein P,Morici J,6
Alvarez R,Ibarra C,6
Damiano A,Szpilbarg N,6
Garimano N,Ibarra C,6
Di Ciano L,Ibarra F,6
Muryan A,Stern A,6
Azurmendi P,Oddo E,6
Ibarra F,Oddo E,6
Paz R,Tubert C,6
Ibarra F,Vlachovsky S,6
Galaviz-Hernandez C,Sosa-Macias M,6
Galaviz-Hernandez C,Giachini F,6
Sanchez D,Silberstein C,6
Cataldi A,Ibarra C,6
Azurmendi P,Ibarra F,6
Rela L,Tubert C,6
Rengel T,Stern A,6
Schiel A,Stern A,6
Pomeranz V,Stern A,6
Stern A,Zotta E,6
Ford P,Pizzoni A,6
Faillace M,Pisera-Fuster A,6
Stern A,Trimarchi H,6
Murer M,Taravini I,6
Paulero M,Stern A,6
Capurro C,Netti V,6
Capurro C,Pizzoni A,6
Oddo E,Silberstein C,5
Murer M,Stahl A,5
Oddo E,Vlachovsky S,5
Cangelosi A,Geoghegan P,5
Ford P,Netti V,5
Paz R,Rela L,5
Miranda M,Morici J,5
Gallo F,Weisstaub N,5
Cangelosi A,Goldstein J,5
Paulero M,Politei J,5
Gallo F,Morici J,5
Andrews J,Schiel A,5
Gomez F,Ibarra C,5
Andrews J,Canzonieri R,5
Andrews J,Forrester M,5
Andrews J,Muryan A,5
Andrews J,Pomeranz V,5
Andrews J,Rengel T,5
Ibarra C,Paton J,5
Palermo M,Sacerdoti F,5
Andrews J,Trimarchi H,5
Andrews J,Zotta E,5
Di Ciano L,Oddo E,5
Azurmendi P,Di Ciano L,5
Pizzoni A,Rivarola V,5
Bekinschtein P,Miranda M,5
Paz R,Stahl A,5
Stahl A,Tubert C,5
Di Giusto G,Pizzoni A,5
Rela L,Stahl A,5
Muryan A,Politei J,5
Beltramone N,Capurro C,5
Lombi F,Stern A,5
Politei J,Pomeranz V,5
Alvarez R,Sacerdoti F,5
Iriarte R,Politei J,5
Politei J,Rengel T,5
Politei J,Schiel A,5
Forrester M,Politei J,5
Politei J,Stern A,5
Canzonieri R,Politei J,5
Politei J,Trimarchi H,5
Bekinschtein P,Weisstaub N,5
Politei J,Zotta E,5
Amaral M,Garimano N,5
Della-Maggiore V,Solano A,5
Ibarra C,Paton A,5
Paton A,Paton J,5
Geoghegan P,Pinto A,5
Azurmendi P,Silberstein C,5
Azurmendi P,Vlachovsky S,5
Geoghegan P,Goldstein J,5
Cangelosi A,Pinto A,5
Fischer Sigel L,Sanchez D,5
Fischer Sigel L,Silberstein C,5
Gomez F,Sacerdoti F,5
Silberstein C,Vlachovsky S,5
Della-Maggiore V,Lerner G,5
Di Ciano L,Vlachovsky S,5
Della-Maggiore V,Jacobacci F,5
Capurro C,Politi M,5
Damiano A,Lima V,5
Medina Y,Reppetti J,5
Costales-Collaguazo C,Zotta E,5
Etcheverry T,Farina M,5
Giachini F,Lima V,5
Etcheverry T,Martinez N,5
Escudero C,Sosa-Macias M,5
Beltramone N,Di Giusto G,4
Braz B,Murer M,4
Costales-Collaguazo C,Muryan A,4
Sacerdoti F,Zotta E,4
Canzonieri R,Costales-Collaguazo C,4
Capurro C,Fernandez J,4
Ochoa F,Zotta E,4
Belforte J,Taravini I,4
Beltramone N,Ford P,4
Piazza R,Sacerdoti F,4
Belforte J,Braz B,4
Martinez N,Medina Y,4
Costales-Collaguazo C,Trimarchi H,4
Della-Maggiore V,Griffa G,4
Beltramone N,Rivarola V,4
Andrews J,Paulero M,4
Bekinschtein P,Gallo F,4
Giachini F,Sosa-Macias M,4
Costales-Collaguazo C,Pomeranz V,4
Krawczyk M,Millan J,4
Farina M,Reppetti J,4
Costales-Collaguazo C,Schiel A,4
Blake M,Millan J,4
Boccia M,Millan J,4
Lombi F,Politei J,4
Keifman E,Murer M,4
Costales-Collaguazo C,Rengel T,4
Costales-Collaguazo C,Iriarte R,4
Amaral M,Luz D,4
Amaral M,Piazza R,4
Miranda M,Weisstaub N,4
Costales-Collaguazo C,Forrester M,4
Luz D,Piazza R,4
Luz D,Sacerdoti F,4
Damiano A,Sierra M,4
Gallo F,Miranda M,4
Fernandez J,Politi M,4
Castro Parodi M,Damiano A,4
Escudero C,Lima V,4
Damiano A,Garcia-Robles R,4
Della-Maggiore V,Yeffal A,4
Damiano A,Ibarra C,4
Di Giusto G,Netti V,4
Faillace M,Medrano M,4
Ibarra C,Scalise M,4
Reppetti J,Szpilbarg N,4
Bernabeu R,Medrano M,4
Costales-Collaguazo C,Paulero M,4
Corominas A,Damiano A,4
Di Ciano L,Silberstein C,4
Ibarra C,Silberstein C,4
Martinez N,Szpilbarg N,4
Cataldi A,Vilte D,4
Ibarra C,Vilte D,4
Castro-Parodi M,Damiano A,4
Ayala-Ramirez P,Damiano A,4
Andrews J,Lombi F,4
Andrews J,Araoz A,4
Araoz A,Pomeranz V,4
Araoz A,Lombi F,4
Andrews J,Iriarte R,4
Araoz A,Zotta E,4
Araoz A,Trimarchi H,4
Araoz A,Schiel A,4
Araoz A,Rengel T,4
Araoz A,Muryan A,4
