id,texto,textos_originales,autores,pmids,n_autores,n_papers
aff_006a67a31f5e64be,"Clem Jones Centre for Ageing Dementia Research, Queensland Brain Institute, The University of Queensland, St Lucia, QLD, 4072, Australia. adam.walker@sydney.edu.au.","[""Clem Jones Centre for Ageing Dementia Research, Queensland Brain Institute, The University of Queensland, St Lucia, QLD, 4072, Australia. adam.walker@sydney.edu.au.""]","[""Walker A""]","[""41423699""]",1,1
aff_006f54e77981bbc8,"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires C1121, Argentina. cristinaadrianaibarra@gmail.com.","[""Laboratorio de Fisiopatogenia, Departamento de Fisiología, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay-CONICET), Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires C1121, Argentina. cristinaadrianaibarra@gmail.com.""]","[""Ibarra C""]","[""30513821""]",1,1
aff_0097f4bcedede33a,"Laboratorio de Nefrología Experimental y Bioquímica Molecular, Instituto de Investigaciones Médicas A. Lanari, Universidad de Buenos Aires, Argentina.","[""Laboratorio de Nefrología Experimental y Bioquímica Molecular, Instituto de Investigaciones Médicas A. Lanari, Universidad de Buenos Aires, Argentina.""]","[""Azurmendi P"", ""Di Ciano L"", ""Ibarra F"", ""Oddo E""]","[""32282322""]",4,1
aff_00dd5270a70efe18,"Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Cátedra de Inmunología e Instituto de Estudios de La Inmunidad Humoral (IDEHU), UBA-CONICET, Junín 956 Piso 4, 1113, Ciudad de Buenos Aires, Argentina.","[""Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica, Cátedra de Inmunología e Instituto de Estudios de La Inmunidad Humoral (IDEHU), UBA-CONICET, Junín 956 Piso 4, 1113, Ciudad de Buenos Aires, Argentina.""]","[""Cerny N""]","[""39553573""]",1,1
aff_00f73494364c1707,"Centro Nacional de Control de Calidad de Biológicos (CNCCB), ANLIS ""Dr. Carlos G. Malbrán"", Ciudad Autónoma de Buenos Aires, Argentina.","[""Centro Nacional de Control de Calidad de Biológicos (CNCCB), ANLIS \""Dr. Carlos G. Malbrán\"", Ciudad Autónoma de Buenos Aires, Argentina.""]","[""Cangelosi A"", ""Geoghegan P""]","[""30732602""]",2,1
aff_0211bfda88182203,"Laboratorio de Biología de la Reproducción, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO)-CONICET, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.","[""Laboratorio de Biología de la Reproducción, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO)-CONICET, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires, Argentina.""]","[""Martinez N"", ""Szpilbarg N""]","[""26568619""]",2,1
aff_022d1e64f078b3df,"Universidad de Buenos Aires, Facultad de Medicina, Instituto de Investigaciones Médicas Alfredo Lanari, Laboratorio de Riñón Experimental y Bioquímica Molecular, Buenos Aires, Argentina.","[""Universidad de Buenos Aires, Facultad de Medicina, Instituto de Investigaciones Médicas Alfredo Lanari, Laboratorio de Riñón Experimental y Bioquímica Molecular, Buenos Aires, Argentina.""]","[""Azurmendi P"", ""Oddo E"", ""Vlachovsky S""]","[""30879772""]",3,1
aff_0247b809e16a8a45,"Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiopatogenia, Buenos Aires C1121ABG, Argentina; CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121ABG, Argentina. Electronic address: mamaral@fmed.uba.ar.","[""Universidad de Buenos Aires, Facultad de Ciencias Médicas, Departamento de Ciencias Fisiológicas, Laboratorio de Fisiopatogenia, Buenos Aires C1121ABG, Argentina; CONICET - Universidad de Buenos Aires, Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay), Buenos Aires C1121ABG, Argentina. Electronic address: mamaral@fmed.uba.ar.""]","[""Amaral M""]","[""39442808""]",1,1
aff_0290d2bdd75ce963,"Institute of Physiology and Biophysics Bernardo Houssay (IFIBIO Houssay), Department of Physiology and Biophysics, School of Medicine, University of Buenos Aires, Buenos Aires, Argentina; and vdellamaggiore@fmed.uba.ar.","[""Institute of Physiology and Biophysics Bernardo Houssay (IFIBIO Houssay), Department of Physiology and Biophysics, School of Medicine, University of Buenos Aires, Buenos Aires, Argentina; and vdellamaggiore@fmed.uba.ar.""]","[""Della-Maggiore V""]","[""25810483""]",1,1
aff_02db6c081cc77452,"Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Instituto de Fisiología y Biofísica ""Bernardo Houssay"" (IFIBIO-HOUSSAY), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad de Buenos Aires, Buenos Aires, Argentina.","[""Departamento de Ciencias Fisiológicas, Laboratorio de Biomembranas, Instituto de Fisiología y Biofísica \""Bernardo Houssay\"" (IFIBIO-HOUSSAY), Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad de Buenos Aires, Buenos Aires, Argentina.""]","[""Beltramone N"", ""Capurro C""]","[""34804128""]",2,1
aff_02dcb411a26a5fd0,"Laboratorio de Biomembranas. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay). Facultad de Medicina, Universidad de Buenos Aires, Paraguay 2155, C1121ABG Buenos Aires, Argentina.","[""Laboratorio de Biomembranas. Instituto de Fisiología y Biofísica Bernardo Houssay (IFIBIO Houssay). Facultad de Medicina, Universidad de Buenos Aires, Paraguay 2155, C1121ABG Buenos Aires, Argentina.""]","[""Fernandez J""]","[""27016670""]",1,1
aff_030479e2ce3470c0,"Instituto de Investigaciones en Ingeniería Genética y Biología Molecular (INGEBI), CONICET, Buenos Aires 1428, Argentina.","[""Instituto de Investigaciones en Ingeniería Genética y Biología Molecular (INGEBI), CONICET, Buenos Aires 1428, Argentina.""]","[""Avale M""]","[""27568555""]",1,1
aff_0348daa324e368d4,"Laboratorio de Fisiopatogenia, Departamento de Fisiología, Facultad de Medicina, Instituto de Fisiología y Biofísica Bernardo Houssay (CONICET), Universidad de Buenos Aires, Buenos Aires, Argentina.","[""Laboratorio de Fisiopatogenia, Departamento de Fisiología, Facultad de Medicina, Instituto de Fisiología y Biofísica Bernardo Houssay (CONICET), Universidad de Buenos Aires, Buenos Aires, Argentina.""]","[""Ochoa F"", ""Zotta E""]","[""30619183""]",2,1
aff_03494a1f040dd060,"Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Houssay, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires C1121ABG, Argentina. jogol@fmed.uba.ar.","[""Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Instituto de Fisiología y Biofísica Houssay, Facultad de Medicina, Universidad de Buenos Aires, Buenos Aires C1121ABG, Argentina. jogol@fmed.uba.ar.""]","[""Goldstein J""]","[""30274180""]",1,1
