pmid,autor,nombres_originales,n_filiaciones,filiacion_ids
24466317,Ibarra C,"[""Ibarra Cristina""]",1,"[""aff_b5a79ef2b453d0da""]"
24466317,Marquez L,"[""Márquez Laura B""]",1,"[""aff_dd07af858107fcc7""]"
24466317,Paton A,"[""Paton Adrienne W""]",1,"[""aff_258502add63482a2""]"
24466317,Paton J,"[""Paton James C""]",1,"[""aff_258502add63482a2""]"
24466317,Repetto H,"[""Repetto Horacio A""]",1,"[""aff_87cf1c37bb466c05""]"
24466317,Silberstein C,"[""Silberstein Claudia""]",1,"[""aff_dd07af858107fcc7""]"
24466317,Velazquez N,"[""Velázquez Natalia""]",1,"[""aff_dd07af858107fcc7""]"
24859216,Pagani M,"[""Pagani Mario Rafael""]",1,"[""aff_12e52ce62007af48""]"
24859216,San Martin A,"[""San Martín Alvaro""]",1,"[""aff_1a333170077d1f46""]"
25157355,Amaral M,"[""Amaral María M""]",1,"[""aff_abea6e6294284460""]"
25157355,Franchi A,"[""Franchi Ana M""]",1,"[""aff_a5aead9376acf632""]"
25157355,Ibarra C,"[""Ibarra Cristina""]",1,"[""aff_abea6e6294284460""]"
25157355,Sacerdoti F,"[""Sacerdoti Flavia""]",1,"[""aff_abea6e6294284460""]"
25157355,Zotta E,"[""Zotta Elsa""]",1,"[""aff_abea6e6294284460""]"
25392493,Alfieri J,"[""Alfieri Julio A""]",1,"[""aff_8d9927acf1432f74""]"
25392493,Igaz L,"[""Igaz Lionel M""]",1,"[""aff_7bce89c208cade4c""]"
25392493,Pino N,"[""Pino Natalia S""]",1,"[""aff_8d9927acf1432f74""]"
25506318,Cammarota M,"[""Cammarota Martín""]",1,"[""aff_671804a51ddd3a1b""]"
25506318,Gonzalez M,"[""Gonzalez María C""]",1,"[""aff_52739d396aabd88d""]"
25506318,Katche C,"[""Katche Cynthia""]",1,"[""aff_52739d396aabd88d""]"
25506318,Kramar C,"[""Kramar Cecilia P""]",1,"[""aff_52739d396aabd88d""]"
25506318,Medina J,"[""Medina Jorge H""]",1,"[""aff_ae054173290988ff""]"
25506318,Tomaiuolo M,"[""Tomaiuolo Micol""]",1,"[""aff_52739d396aabd88d""]"
25506318,Weisstaub N,"[""Weisstaub Noelia""]",1,"[""aff_8a3e83401bd7bb3e""]"
25794836,Albanese A,"[""Albanese Adriana""]",1,"[""aff_b5a79ef2b453d0da""]"
25794836,Amigo N,"[""Amigo Natalia""]",1,"[""aff_1647eacb1e099609""]"
25794836,Cataldi A,"[""Cataldi Angel""]",1,"[""aff_1647eacb1e099609""]"
25794836,Garcia H,"[""García Hugo""]",1,"[""aff_b64f4c1a52f1367a""]"
25794836,Gerhardt E,"[""Gerhardt Elizabeth""]",1,"[""aff_b5a79ef2b453d0da""]"
25794836,Ibarra C,"[""Ibarra Cristina""]",1,"[""aff_fcab07b7d888d141""]"
25794836,Zotta E,"[""Zotta Elsa""]",1,"[""aff_b5a79ef2b453d0da""]"
25810483,Della-Maggiore V,"[""Della-Maggiore Valeria""]",1,"[""aff_0290d2bdd75ce963""]"
25810483,Grafton S,"[""Grafton Scott T""]",1,"[""aff_d0d03a8a91941e8a""]"
25810483,Gueugneau N,"[""Gueugneau Nicolas""]",1,"[""aff_217bef4cd0cdab8a""]"
25810483,Mc Cabe S,"[""Mc Cabe Sofia I""]",1,"[""aff_217bef4cd0cdab8a""]"
25810483,Villalta J,"[""Villalta Jorge I""]",1,"[""aff_217bef4cd0cdab8a""]"
25819809,Aisemberg J,"[""Aisemberg J""]",1,"[""aff_7632b2f5c08f5b58""]"
25819809,Amaral M,"[""Amaral M M""]",1,"[""aff_b5a79ef2b453d0da""]"
25819809,Cymeryng C,"[""Cymeryng C B""]",1,"[""aff_7632b2f5c08f5b58""]"
25819809,Franchi A,"[""Franchi A M""]",1,"[""aff_7632b2f5c08f5b58""]"
25819809,Ibarra C,"[""Ibarra C""]",1,"[""aff_fcab07b7d888d141""]"
25819809,Sacerdoti F,"[""Sacerdoti F""]",1,"[""aff_b5a79ef2b453d0da""]"
25856239,Bordey A,"[""Bordey Angelique""]",2,"[""aff_14bc7e9ad50a692c"", ""aff_3d00a58bac42ad69""]"
25856239,Greer C,"[""Greer Charles A""]",2,"[""aff_3d00a58bac42ad69"", ""aff_418929afbe3e1028""]"
25856239,Piantanida A,"[""Piantanida Ana Paula""]",2,"[""aff_3c15b18649cefc81"", ""aff_66d92e506dade2f6""]"
25856239,Rela L,"[""Rela Lorena""]",3,"[""aff_3c15b18649cefc81"", ""aff_3d00a58bac42ad69"", ""aff_66d92e506dade2f6""]"
25872916,Belforte J,"[""Belforte Juan E""]",1,"[""aff_f3e1a8beedf35540""]"
25872916,Braz B,"[""Braz Barbara Y""]",1,"[""aff_f3e1a8beedf35540""]"
25872916,Galinanes G,"[""Galiñanes Gregorio L""]",1,"[""aff_f3e1a8beedf35540""]"
25872916,Murer M,"[""Murer M Gustavo""]",1,"[""aff_f3e1a8beedf35540""]"
25872916,Taravini I,"[""Taravini Irene R E""]",1,"[""aff_e05fe42341da6f15""]"
25963416,Fernandez E,"[""Fernández Elmer""]",1,"[""aff_2da7ed3b66cc1960""]"
25963416,Fresno C,"[""Fresno Cristóbal""]",1,"[""aff_fc52f16a563bae6c""]"
25963416,Gershanik O,"[""Gershanik Oscar S""]",1,"[""aff_8b4607951ca57823""]"
25963416,Gomez G,"[""Gomez Gimena""]",1,"[""aff_abc9c6d1b81fa18f""]"
25963416,Gonzalez G,"[""González Germán A""]",1,"[""aff_6092f8d8af729ff9""]"
25963416,Larramendy C,"[""Larramendy Celia""]",1,"[""aff_085c8dbcfdcf5aea""]"
25963416,Murer M,"[""Murer Mario G""]",1,"[""aff_3383ecbb44166433""]"
25963416,Saborido M,"[""Saborido Mariano D""]",1,"[""aff_3be13da2c3543ca9""]"
25963416,Spaans F,"[""Spaans Floor""]",1,"[""aff_7701c2af2e605840""]"
25963416,Taravini I,"[""Taravini Irene R""]",1,"[""aff_f7d2625d3e88a95e""]"
25980432,Cabral P,"[""Cabral P D""]",2,"[""aff_30be19c77b7fe9ec"", ""aff_99a6f6ed7c213299""]"
25980432,Capurro C,"[""Capurro C""]",1,"[""aff_30be19c77b7fe9ec""]"
25980432,Garvin J,"[""Garvin J L""]",1,"[""aff_99a6f6ed7c213299""]"
25981209,Bernabeu R,"[""Bernabeu R O""]",1,"[""aff_6b1c96a5421d50e6""]"
25981209,Faillace M,"[""Faillace M P""]",1,"[""aff_b816617c7bc45891""]"
25981209,Zwiller J,"[""Zwiller J""]",1,"[""aff_e5300512be189189""]"
26030198,Amigo N,"[""Amigo Natalia""]",1,"[""aff_c54896045b11bec4""]"
26030198,Bentancor A,"[""Bentancor Adriana""]",1,"[""aff_0f36299427c1292e""]"
26030198,Cataldi A,"[""Cataldi Angel""]",1,"[""aff_c54896045b11bec4""]"
26030198,Gerhardt E,"[""Gerhardt Elisabeth""]",1,"[""aff_a6a8b38e83885e4a""]"
26030198,Ibarra C,"[""Ibarra Cristina""]",1,"[""aff_a6a8b38e83885e4a""]"
26030198,Larzabal M,"[""Larzábal Mariano""]",1,"[""aff_c54896045b11bec4""]"
26030198,Manning S,"[""Manning Shannon D""]",1,"[""aff_6deeb559c2aa2e67""]"
26030198,Mercado E,"[""Mercado Elsa""]",1,"[""aff_f504af77a7dac60c""]"
26030198,Singh P,"[""Singh Pallavi""]",1,"[""aff_6deeb559c2aa2e67""]"
26030198,Vilte D,"[""Vilte Daniel""]",1,"[""aff_f504af77a7dac60c""]"
26030198,Zotta E,"[""Zotta Elsa""]",1,"[""aff_a6a8b38e83885e4a""]"
26064721,Andrews J,"[""Andrews J""]",1,"[""aff_f92b9ba4b680134a""]"
26064721,Araoz A,"[""Araoz A""]",1,"[""aff_179c57c338aa1280""]"
26064721,Canzonieri R,"[""Canzonieri R""]",1,"[""aff_3484e45d5c25fa94""]"
26064721,Forrester M,"[""Forrester M""]",1,"[""aff_f92b9ba4b680134a""]"
26064721,Karl A,"[""Karl A""]",1,"[""aff_f92b9ba4b680134a""]"
26064721,Lombi F,"[""Lombi F""]",1,"[""aff_f92b9ba4b680134a""]"
26064721,Muryan A,"[""Muryan A""]",1,"[""aff_3484e45d5c25fa94""]"
26064721,Pomeranz V,"[""Pomeranz V""]",1,"[""aff_f92b9ba4b680134a""]"
26064721,Rengel T,"[""Rengel T""]",1,"[""aff_f92b9ba4b680134a""]"
26064721,Schiel A,"[""Schiel A""]",1,"[""aff_3484e45d5c25fa94""]"
26064721,Trimarchi H,"[""Trimarchi H""]",1,"[""aff_f92b9ba4b680134a""]"
26064721,Zotta E,"[""Zotta E""]",1,"[""aff_179c57c338aa1280""]"
26192095,Bustamante J,"[""Bustamante J""]",1,"[""aff_31978df891cc1f80""]"
26192095,Cutrera R,"[""Cutrera R A""]",1,"[""aff_e0e786e15efeb90e""]"
26192095,Czerniczyniec A,"[""Czerniczyniec A""]",1,"[""aff_31978df891cc1f80""]"
26192095,Karadayian A,"[""Karadayian A G""]",1,"[""aff_31978df891cc1f80""]"
26192095,Lombardi P,"[""Lombardi P""]",1,"[""aff_31978df891cc1f80""]"
26192095,Lores-Arnaiz S,"[""Lores-Arnaiz S""]",1,"[""aff_ad38561ba3949cae""]"
26335361,Amaral M,"[""Amaral María M""]",1,"[""aff_e4246186eb7ab649""]"
26335361,Girard M,"[""Girard Magalí C""]",1,"[""aff_133890e35e9024be""]"
26335361,Ibarra C,"[""Ibarra Cristina""]",1,"[""aff_133890e35e9024be""]"
26335361,Repetto H,"[""Repetto Horacio A""]",1,"[""aff_1634010af039ed03""]"
26335361,Rivera F,"[""Rivera Fulton P""]",1,"[""aff_133890e35e9024be""]"
26335361,Sacerdoti F,"[""Sacerdoti Flavia""]",1,"[""aff_133890e35e9024be""]"
26470817,Damiano A,"[""Damiano Alicia E""]",1,"[""aff_457bad5e76aa544d""]"
26470817,Dietrich V,"[""Dietrich Valeria""]",1,"[""aff_feaf1f6443810fc3""]"
26484945,Bisagno V,"[""Bisagno Verónica""]",1,"[""aff_1f0da6583f4def16""]"
26484945,Garcia-Rill E,"[""Garcia-Rill Edgar""]",1,"[""aff_18364756813db116""]"
26484945,Gingrich J,"[""Gingrich Jay A""]",1,"[""aff_4f0cbe8c7e7083fa""]"
26484945,Goitia B,"[""Goitia Belén""]",2,"[""aff_1f0da6583f4def16"", ""aff_2665c3c0f87d53ff""]"
