source,target,autores,pmids,evidencia,weight,n_papers,n_autor_paper
aff_006a67a31f5e64be,aff_6ae0796c5c72dd64,"[""Walker A""]","[""41423699""]","[{""autor"": ""Walker A"", ""pmid"": ""41423699""}]",1,1,1
aff_006a67a31f5e64be,aff_d37dcaf256b62523,"[""Walker A""]","[""41423699""]","[{""autor"": ""Walker A"", ""pmid"": ""41423699""}]",1,1,1
aff_0097f4bcedede33a,aff_9ec6aa0ef09fca2b,"[""Ibarra F""]","[""32282322""]","[{""autor"": ""Ibarra F"", ""pmid"": ""32282322""}]",1,1,1
aff_00dd5270a70efe18,aff_67c9c317fe4b259d,"[""Cerny N""]","[""39553573""]","[{""autor"": ""Cerny N"", ""pmid"": ""39553573""}]",1,1,1
aff_03e2d56d2286973e,aff_28d0bbbda0195d6a,"[""Ibarra F""]","[""37676461""]","[{""autor"": ""Ibarra F"", ""pmid"": ""37676461""}]",1,1,1
aff_03e2d56d2286973e,aff_bcc2ea3d8a44eeb1,"[""Ibarra F""]","[""37676461""]","[{""autor"": ""Ibarra F"", ""pmid"": ""37676461""}]",1,1,1
aff_0583d5ae97783aaa,aff_c279eecb7c53fe7c,"[""Zotta E""]","[""34437406""]","[{""autor"": ""Zotta E"", ""pmid"": ""34437406""}]",1,1,1
aff_0795be649c6b7425,aff_534be2109fa6b205,"[""Amaral M"", ""Giron D"", ""Gomez F"", ""Marques da Silva W"", ""Sacerdoti F""]","[""42347511""]","[{""autor"": ""Amaral M"", ""pmid"": ""42347511""}, {""autor"": ""Giron D"", ""pmid"": ""42347511""}, {""autor"": ""Gomez F"", ""pmid"": ""42347511""}, {""autor"": ""Marques da Silva W"", ""pmid"": ""42347511""}, {""autor"": ""Sacerdoti F"", ""pmid"": ""42347511""}]",5,1,5
aff_07a7d8ddbf990adc,aff_320455ea214b3afe,"[""Ibarra F""]","[""40577142""]","[{""autor"": ""Ibarra F"", ""pmid"": ""40577142""}]",1,1,1
aff_083ec23f412eaf11,aff_2b96a3a001f83643,"[""Faillace M""]","[""28710541""]","[{""autor"": ""Faillace M"", ""pmid"": ""28710541""}]",1,1,1
aff_083ec23f412eaf11,aff_5280a87c1d18614b,"[""Faillace M""]","[""28710541""]","[{""autor"": ""Faillace M"", ""pmid"": ""28710541""}]",1,1,1
aff_0864a01dd26b2da3,aff_f1ddb25373081fda,"[""Katz M""]","[""40603573""]","[{""autor"": ""Katz M"", ""pmid"": ""40603573""}]",1,1,1
aff_08b48b366bbd1b54,aff_d999260a07edd193,"[""Valverde E""]","[""39851628""]","[{""autor"": ""Valverde E"", ""pmid"": ""39851628""}]",1,1,1
aff_08e1e3ae9c5aec56,aff_b0db5227cb42e1e0,"[""Brughera A""]","[""34741225""]","[{""autor"": ""Brughera A"", ""pmid"": ""34741225""}]",1,1,1
