PMID,Section,EntityType,Mention,NormalizedName,NormalizedID,Database,Valid
39833563,title,Disease,in,,,,False
39833563,abstract,Disease,in,,,,False
39833563,abstract,Disease,neuropsychiatric disorders,Mental Disorders,D001523,ncbi_mesh,True
39833563,abstract,Disease,schizophrenia,Schizophrenia,D012559,ncbi_mesh,True
39833563,abstract,Species,mice,10090,10090,ncbi_taxonomy,True
39833563,abstract,Disease,in,,,,False
39833563,abstract,Disease,in,,,,False
39833563,abstract,Disease,aggression,Personality Disorders,D010554,ncbi_mesh,True
39833563,abstract,Species,mice,10090,10090,ncbi_taxonomy,True
39833563,abstract,Disease,social defeat,300082,300082,omim,True
39833563,abstract,Species,mice,10090,10090,ncbi_taxonomy,True
39833563,abstract,Disease,in,,,,False
39833563,abstract,Species,mice,10090,10090,ncbi_taxonomy,True
39833563,abstract,Disease,in,,,,False
39833563,abstract,Disease,in,,,,False
39833563,abstract,Chemical,clozapine,Clozapine,D003024,ncbi_mesh,True
39833563,abstract,Disease,schizophrenia,Schizophrenia,D012559,ncbi_mesh,True
39833563,abstract,Disease,in,,,,False
39833563,abstract,Species,mice,10090,10090,ncbi_taxonomy,True
39833563,abstract,Disease,in,,,,False
39851628,title,Disease,Myocardial Ischaemia,Cardiomyopathies,D009202,ncbi_mesh,True
39851628,abstract,Disease,Myocardial ischaemia,Cardiomyopathies,D009202,ncbi_mesh,True
39851628,abstract,Chemical,oxygen,Oxygen,D010100,ncbi_mesh,True
39851628,abstract,Disease,coronary atherosclerosis,Coronary Artery Disease,D003324,ncbi_mesh,True
39851628,abstract,Disease,ischaemia,Ischemia,D007511,ncbi_mesh,True
39851628,abstract,Disease,malignant arrhythmias,Arrhythmias Cardiac,D001145,ncbi_mesh,True
39851628,abstract,Disease,occlusion of both the left anterior descending (LAD) and right anterior coronary artery,Anterior Spinal Artery Syndrome,D020759,ncbi_mesh,True
39851628,abstract,Disease,RCA,Coronary Artery Disease,D003324,ncbi_mesh,True
39851628,abstract,Species,patient,9606,9606,ncbi_taxonomy,True
39851628,abstract,Disease,ischaemia,Ischemia,D007511,ncbi_mesh,True
39851628,abstract,Disease,LAD occlusion,Dissection Thoracic Aorta,D000094629,ncbi_mesh,True
39851628,abstract,Disease,RCA occlusion,Arterial Occlusive Diseases,D001157,ncbi_mesh,True
39851628,abstract,Disease,RCA,Coronary Artery Disease,D003324,ncbi_mesh,True
39853576,title,Disease,Sleep apnea,Sleep Apnea Syndromes,D012891,ncbi_mesh,True
39853576,abstract,Disease,Obstructive sleep apnea,Sleep Apnea Obstructive,D020181,ncbi_mesh,True
39853576,abstract,Disease,OSA,Sleep Apnea Obstructive,D020181,ncbi_mesh,True
39853576,abstract,Disease,neurocognitive impairment,Neurocognitive Disorders,D019965,ncbi_mesh,True
39853576,abstract,Disease,cardiovascular diseases,Cardiovascular Diseases,D002318,ncbi_mesh,True
39853576,abstract,Disease,OSA,Sleep Apnea Obstructive,D020181,ncbi_mesh,True
39853576,abstract,Disease,OSA,Sleep Apnea Obstructive,D020181,ncbi_mesh,True
39853576,abstract,Species,Participants,9606,9606,ncbi_taxonomy,True
39853576,abstract,Disease,OSA,Sleep Apnea Obstructive,D020181,ncbi_mesh,True
39853576,abstract,Disease,OSA,Sleep Apnea Obstructive,D020181,ncbi_mesh,True
39853576,abstract,Disease,snoring,Snoring,D012913,ncbi_mesh,True
39853576,abstract,Disease,apneas,Apnea,D001049,ncbi_mesh,True
39853576,abstract,Disease,hypertension,Hypertension,D006973,ncbi_mesh,True
39853576,abstract,Disease,OSA,Sleep Apnea Obstructive,D020181,ncbi_mesh,True
39853576,abstract,Disease,OSA,Sleep Apnea Obstructive,D020181,ncbi_mesh,True
39853576,abstract,Disease,OSA,Sleep Apnea Obstructive,D020181,ncbi_mesh,True
39855537,title,Chemical,Ketamine,Ketamine,D007649,ncbi_mesh,True
39855537,abstract,Chemical,Ketamine,Ketamine,D007649,ncbi_mesh,True
39855537,abstract,Chemical,ketamine,Ketamine,D007649,ncbi_mesh,True
39855537,abstract,Species,mouse,10090,10090,ncbi_taxonomy,True
39855537,abstract,Chemical,Ketamine,Ketamine,D007649,ncbi_mesh,True
39855537,abstract,Gene,parvalbumin,Pvalb,19293,ncbi_gene,True
39855537,abstract,Chemical,ketamine,Ketamine,D007649,ncbi_mesh,True
39855537,abstract,Gene,parvalbumin,Pvalb,19293,ncbi_gene,True
