GeneID,Symbol,TaxID,Ensembl,SwissProt,TrEMBL,RefSeq_RNA,RefSeq_Protein
19293,Pvalb,10090,"['ENSMSIG00000020723', 'ENSMUSG00000005716', 'ENSNVIG00000003425']",['P32848'],['Q545M7'],"['NM_001330686.1', 'NM_013645.4']","['NP_001317615.1', 'NP_038673.2']"
6531,SLC6A3,9606,"['ENSG00000142319', 'ENSG00000276996']",['Q01959'],"['A0AAQ5BGN6', 'A0AAQ5BGQ7', 'A0AAQ5BGS7', 'A0ACI8TX57', 'A0ACI8U574']",['NM_001044.5'],['NP_001035.1']
7054,TH,9606,['ENSG00000180176'],['P07101'],"['A0ACI8U525', 'A0ACI8U667', 'E7EQI0', 'F8W8M5', 'H0Y670', 'H0Y677', 'P78428']","['NM_000360.4', 'NM_001440535.1', 'NM_001440536.1', 'NM_001440537.1', 'NM_199292.3', 'NM_199293.3']","['NP_000351.2', 'NP_001427464.1', 'NP_001427465.1', 'NP_001427466.1', 'NP_954986.2', 'NP_954987.2']"
6571,SLC18A2,9606,['ENSG00000165646'],['Q05940'],"['A0ACI8PHI4', 'A0ACI8Q4C0', 'A0ACI8QNJ1', 'A0ACI8T2A3', 'A0ACI8T2K9', 'A0ACI8T2M1']",['NM_003054.6'],['NP_003045.2']
366,AQP9,9606,['ENSG00000103569'],['O43315'],"['A0ACI8PPV4', 'A0ACI8QSK3', 'A0ACI8RHH2', 'A0ACI8S4N4', 'H0YK62']","['NM_001320635.2', 'NM_001320636.1', 'NM_020980.5']","['NP_001307564.1', 'NP_001307565.1', 'NP_066190.2']"
358,AQP1,9606,['ENSG00000240583'],['P29972'],"['A0A494C115', 'A0A494C1U4', 'A0ACI8PQD6', 'A0ACI8RI38', 'A0ACI8S4Z1']","['NM_000385.3', 'NM_001185060.1', 'NM_001185061.1', 'NM_001185062.1', 'NM_001329872.2', 'NM_198098.4']","['NP_001316801.1', 'NP_932766.1']"
361,AQP4,9606,['ENSG00000171885'],['P55087'],"['A0A5F9ZHR4', 'A0A6Q8PGV0', 'A0ACI8RHF7', 'F1DSG4', 'H0Y3H5', 'J3KRM4', 'V9PBN7']","['NM_001317384.3', 'NM_001317387.3', 'NM_001364286.1', 'NM_001364287.1', 'NM_001364289.2', 'NM_001650.7', 'NM_004028.5', 'XM_011525942.4']","['NP_001304313.1', 'NP_001304316.1', 'NP_001351215.1', 'NP_001351216.1', 'NP_001351218.1', 'NP_001641.1', 'NP_004019.1', 'XP_011524244.1']"
857,CAV1,9606,['ENSG00000105974'],['Q03135'],"['A0A7P0YWJ6', 'A0ACI8TRI8', 'A9XTE5', 'C9JKI3', 'E9PCT5', 'F8WDM7', 'Q2TNI1', 'Q59E85', 'Q7Z4F3']","['NM_001172895.1', 'NM_001172896.2', 'NM_001172897.2', 'NM_001753.5']","['NP_001166366.1', 'NP_001166367.1', 'NP_001166368.1', 'NP_001744.2']"
13492,Drd5,10090,"['ENSFALG00000009387', 'ENSMSIG00000025736', 'ENSMUSG00000039358', 'ENSNVIG00000007857']",['Q8BLD9'],['B2RQS5'],['NM_013503.4'],['NP_038531.1']
13489,Drd2,10090,"['ENSMSIG00000013494', 'ENSMUSG00000032259', 'ENSNVIG00000007005']",['P61168'],[],"['NM_001410193.1', 'NM_010077.3']","['NP_001397122.1', 'NP_034207.2']"
920,CD4,9606,['ENSG00000010610'],['P01730'],"['A0A4Y5UGE4', 'A0ACI8RND3', 'A0ACI8RWE1', 'B0AZV7', 'B4DT49', 'F5GYA9', 'F5H480']","['NM_000616.5', 'NM_001195014.3', 'NM_001195015.3', 'NM_001195016.3', 'NM_001195017.3', 'NM_001382705.1', 'NM_001382706.1', 'NM_001382707.1', 'NM_001382714.1', 'NR_036545.1']","['NP_000607.1', 'NP_001181943.1', 'NP_001181944.1', 'NP_001181945.1', 'NP_001181946.1', 'NP_001369634.1', 'NP_001369635.1', 'NP_001369636.1', 'NP_001369643.1']"
